,类型,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
66,攻击活动分析报告 (181),黄金雕（APT-C-34）组织攻击活动揭露,2019/11/21,暂无数据,['暂无数据'],APT-C-34黄金雕,"360 高级威胁应对团队通过关联 Hacking Team 武器，发现了一支活跃在中亚地区，从未被外界知晓的APT组织黄金雕（APT-C-34）。该组织制作了大量的伪装的文档和图片文件作为鱼叉攻击的诱饵，这些文件通过伪装图标诱导用户点击，实际上是 EXE 和 SRC 后缀的可执行文件，同时会释放弹出真正的文档和图片欺骗受害者。其中部分诱饵程序安装包脚本会自动将程序添加到注册表项中，实现自启动驻留。除此之外，该组织还使用物理接触手段进行攻击，部分受害者曾经接入过包含恶意程序和安装脚本的 U 盘。同时该组织也使用了 HackingTeam 的物理攻击套件，该套件需要通过恶意硬件物理接触目标机器，在系统引导启动前根据系统类型植入恶意程序，支持 Win、Mac 和 Linux 平台。该组织采购了一家俄罗斯公司""YURION""的硬件设备产品，该公司是一家俄罗斯的安全防务公司，专门出售无线电监听、窃听等设备，该组织有可能使用该公司的一些特殊硬件设备直接对目标的通讯等信号进行截取监听。 该组织的后门技术主要通过改造正规软件(如TeamViewer Hijacker、RMS Hijacker' )、自主研发( 如Harpoon后门 )和采购商业木马(如HackingTeam 商业后门)这三种方式进行。其绝大部分受害者都集中在哈萨克斯坦国境内，主要涉及政府机关、航空航天、教育、军方、媒体和政府异见人士等，除此以外，还有部分中国背景的受害者，涉及我方与哈萨克合作项目组和驻哈教育机构，而极少数的受害者位于我国西北部地区。"
67,攻击活动分析报告 (181),BlackTech组织使用IconDown恶意软件对日本的攻击,2019/11/21,暂无数据,['暂无数据'],BlackTech黑凤梨 T-APT-03,BlackTech使用各种类型的恶意软件对日本进行攻击，近期发现该组织利用IconDown恶意软件，该恶意软件通过ASUS WebStorage的更新功能进行传播。
68,攻击活动分析报告 (181),卡巴斯基2020年APT攻击预测,2019/11/20,暂无数据,['暂无数据'],APT-C-26,卡巴斯基通过对过去12个月的APT攻击的总结，预测了2020年可能发生的APT攻击趋势：攻击会趋向于伪装自身的身份将研究人员的注意力转移到另一个攻击组织上，如Lazarus、WildNeutron、Hades等都有过此种行为；攻击将倾向于针对性的勒索软件；滥用在线支付来进行欺诈；更多的基础架构攻击和针对非PC目标的攻击；亚欧贸易路线的地区的攻击将增加；攻击方法越来越复杂；攻击目标的重点将变为移动设备；滥用个人的隐私信息辅助进行攻击。
69,攻击活动分析报告 (181),黑客组织(TA2101)模仿美国、德国、意大利的政府机构，通过钓鱼邮件分发勒索软件、后门木马,2019/11/14,暂无数据,['暂无数据'],TA2101,"国外研究人员发现一个新黑客组织(TA2101)模仿美国、德国、意大利的政府机构，通过钓鱼邮件分发勒索软件、后门程序和银行木马。针对德国IT支持公司的钓鱼邮件冒充德国联邦财政部，伪装成用户欠税通知，里面包含恶意的Word文档附件，一旦用户打开附件并启用宏，将安装Cobalt Strike和Maze勒索软件。针对意大利组织的钓鱼邮件冒充意大利税务局，伪装成新税收准则，一旦用户打开恶意附件文档，将被指引""启动内容""解密文件，一旦启用则会执行恶意宏，安装Maze勒索软件。针对美国医疗保健行业的钓鱼邮件冒充美国邮政服务，同样提供恶意Word文档附件，手法与针对意大利的活动类似，但最终安装的是IceID银行木马。"
70,攻击活动分析报告 (181),疑似海莲花又有新活动，攻击目标似为国内大型企业,2019/11/13,暂无数据,['暂无数据'],APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,近期安全研究院猎影威胁分析团队在文件威胁分析平台上监控发现疑似海莲花组织又有新的活动出现，其攻击目标似为国内大型企业。
71,攻击活动分析报告 (181),安卓银行木马Cerberus最新发现,2019/11/12,暂无数据,['暂无数据'],暂无数据,"Cerberus安卓银行木马是一款商业性质木马，在俄罗斯黑客论坛XSS[.]is出售，其作者使用Twitter账户@AndroidCerberus进行推广。该银行木马具备发送短信、拦截短信、伪造银行页面等功能。其目标为全球的银行组织、电子商务、金融、电信等行业。Cerberus木马(92aa486aee73546da0a5e153036b3ab8fd8a29525eb4a4885f1e9952fc2df0d0)的C2信息存储在其配置文件""settings.xml""文件中。C2域brickgeld24k[.]su 于2019年9月8日注册，其他C2域(brickgeld25sk[.]su、brickgeld001kz[.]su、brickgeld049ik[.]su)还没有解析记录。该木马利用计步器程序启动，当计步器(测量步数)达到特定步数时变为活动状态。"
72,攻击活动分析报告 (181),勒索软件PureLocker通过暗网销售，针对企业进行定向攻击,2019/11/12,暂无数据,['暂无数据'],FIN6,"国外研究人员发现勒索软件PureLocker针对企业生产服务器的定向攻击，该勒索软件在暗网出售，并已经被Cobalt Gang，FIN6和其他威胁组使用。PureLocker采用PureBasic编程语言编写，拥有Windows和Linux变种版本。恶意DLL文件伪装成名为Crypto++的C++加密算法库，被regsrv32.exe作为COM服务器的一个DLL文件执行。PureLocker使用硬编码的RSA密钥，采用标准AES + RSA组合对受害者计算机上的文件进行加密，并未加密后的文件添加"".CR1""扩展名，加密完成后会在用户桌面留下名为YOUR_FILES.txt的赎金票据文件。研究人员通过比较PureLocker勒索软件样本和最近的more_eggs加载器样本，认为二者极有可能是由同一作者创建的。"
73,攻击活动分析报告 (181),APT组织Platinum仍然活跃，更新两种后门工具,2019/11/11,暂无数据,['暂无数据'],TwoForOnePlatinum,卡巴斯基实验室人员发布分析报告称2018年7月针对东南亚国家，外交、政府和军事实体的攻击活动EasternRoppels可能与APT组织Platinum有关。其攻击工具的特点是多阶段执行，利用新的隐写术来隐藏通信过程。这次更新的TTPs是Steganography后门和在它基础上改进的P2P后门。
74,攻击活动分析报告 (181),Platinum组织最新攻击活动，使用新无文件后门Titanium,2019/11/11,暂无数据,['暂无数据'],TwoForOnePlatinum,由微软追踪到的高级持续威胁组织Platinum正在使用一种名为Titanium的新型木马后门恶意软件来渗透并控制目标系统。Titanium的与众不同之处在于它使用了各种隐藏方法，将其伪装成安全解决方案、声音驱动程序或DVD视频创作工具。至少从2009年起，Platinum(也被卡巴斯基跟踪为TwoForOne)就一直活跃在亚太地区，目标是政府机构、国防机构、情报机构、外交机构、政府机构。该活动的主要目标位于南亚和东南亚。根据卡巴斯基的研究团队所言，Platinum使用本地内部网站传递恶意负载，或者通过未知的方法将shell代码注入到系统进程中。Shellcode通过从命令和控制服务器下载加密的有效载荷，对其解密并在感染链中启动下一个有效载荷，从而在目标机器上获得最初的立足点。恶意负载使用Windows后台智能传输服务(BITS)服务下载所需的文件，并利用合法的cURL工具与C2服务器通信。Titanium有效负载将被加载到内存中并启动，该负载通过Windows API调用和循环进行混淆，以绕过检测，接收到的C2命令隐藏在PNG文件中。由于使用了加密和无文件技术，无法将文件系统中的任何文件检测为恶意文件。
75,攻击活动分析报告 (181),APT组织“拍拍熊”对巴勒斯坦政府攻击事件报告,2019/11/11,暂无数据,"['鱼叉式网络钓鱼电子邮件', '木马后门']",APT-C-37拍拍熊,瑞星威胁情报中心最近捕获到两起针对巴勒斯坦大选的APT攻击事件，该组织通过投放伪装成巴勒斯坦选举会议的相关文档等方式进行远程控制攻击，其意图以攻击巴勒斯坦政府为主，目的在于影响巴勒斯坦国家大选。钓鱼邮件使用巴勒斯坦选举主题，攻击者投放的病毒样本为SFX（自解压）文件，并且图标被伪装成WORD图标。攻击者为了迷惑受害者，会先将诱饵文档释放在%temp%路径下，并打开，然后利用mshta.exe执行http://192.119.111.4/xx/dv脚本，同时在启动菜单中下创建一个指向执行脚本的LNK文件，以维护持久性。恶意活动最终投递Houdini远控木马收集受害者系统信息和进行远程控制。
76,攻击活动分析报告 (181),电商网站被注入恶意Skimmers脚本，窃取访问者付款信息,2019/11/8,暂无数据,['暂无数据'],暂无数据,最近，国外研究人员发现某些使用Magento和WordPress等CMS搭建的电商网站上被注入Skimmers恶意脚本，这些脚本使用Base64，以及数百个不同的域和定制的url进行混淆。每个脚本针对每个特定的受感染站点进行名称和内容的自定义，其检测结账页面的URL，并从结账表单中收集敏感的信用卡信息。
77,攻击活动分析报告 (181),Medusalocker勒索软件变种攻击企业，勒索1比特币,2019/11/7,暂无数据,['勒索软件'],暂无数据,腾讯威胁情报中心监测到Medusalocker勒索病毒在中国国内有部分感染，该病毒出现于2019年10月，已知该病毒主要利用钓鱼欺诈邮件及垃圾邮件传播。感染后病毒会添加计划任务，实现病毒程序的持久化驻留，计划任务会每15分钟执行一次，在病毒未清理彻底情况下，会导致重复感染。该病毒早期版本加密文件后添加扩展后缀.encrypted，最新版本加密文件后添加.ReadTheInstructions扩展后缀。Medusalocker采用RSA+AES方式对文件进行加密，加密后，会向受害者勒索1BTC(比特币)，由于RSA私钥无法通过分析获取，暂无解密工具。
78,攻击活动分析报告 (181),针对制药行业及政企的黑客组织最新攻击活动深度分析,2019/11/7,暂无数据,['暂无数据'],暂无数据,"最近，启明星辰ADLab发现尼日利亚黑客组织针对德国和印度尼西亚的多家制药企业，以及西班牙的政府、企事业单位等机构的攻击活动。攻击者使用伪装成""付款收据""，""银行确认""等财务主题的钓鱼邮件，诱导目标下载其中恶意EXCEL文件，一旦目标在未修复CVE-2017-11882漏洞的计算机上打开，Office文档中的公式编辑器会启动EQNDT32.EXE进程，触发漏洞执行远程payload下载，从而侵入目标系统。攻击载荷会根据地理位置的不同而在受害者电脑上下载并安装Agent Tesla、HawEye Keylogger、NanoCore RAT或NetWire RAT等多款间谍木马，以对攻击目标实施长期的监控控制、敏感信息窃取等恶意行为。同时，还发现该黑客组织攻陷了西班牙一家大型船舶管理公司的官方网站作为情报窃取的秘密回传点，以试图隐藏自身身份。"
79,攻击活动分析报告 (181),神秘APT框架DarkUniverse被曝光，使用鱼叉式钓鱼进行窃密活动,2019/11/6,暂无数据,[],暂无数据,卡巴斯基最近揭露了神秘APT组织框架DarkUniverse的一系列活动，该组织从2009年到2017年一直活跃，这些活动与ItaDuke系列活动存在代码重叠。攻击者主要采用鱼叉式钓鱼手法，向目标发送带有恶意Microsoft Office文档的信函，2018年的攻击活动中大约有20名受害者，受害者包括平民组织和军事组织，分别位于叙利亚，伊朗，阿富汗，坦桑尼亚，埃塞俄比亚，苏丹，俄罗斯，白俄罗斯和阿拉伯联合酋长国。恶意样本在发送之前立即编译，2017年使用的最新样本中包括updater.mod和提供键盘记录功能的gum30.dll文件。updater.mod模块负责连接到C2并下载其他恶意软件模块，包括dfrgntfs5.sqt–用于执行来自C2的命令的模块，msvcrt58.sqt–窃取邮件凭据和电子邮件的模块等，所有的恶意软件模块均使用自定义算法加密。恶意软件配置存储在注册表中的SOFTWARE\AppDataLow\GUI\LegacyP中，其中包括C2账户凭据等信息。
80,攻击活动分析报告 (181),Anubis银行木马最新活动，仿冒成抖音国际版传播,2019/11/5,暂无数据,['木马后门'],暂无数据,"Anubis是一种主要活动在欧美等地的Android银行木马，其攻击手法主要通过伪装成金融应用、聊天应用、手机游戏、购物应用、软件更新、邮件应用、浏览器应用等一些主流的APP及用户较多的APP进行植入。近期奇安信病毒响应中心捕获到一款仿冒为抖音国际版""TikTok""的恶意软件，经过分析发现该恶意软件为Anubis木马变种。Anubis代码核心以远控为主体，钓鱼、勒索等其它功能为辅，目的则为获取用户关键信息，窃取用户财产。此次发现的仿冒“TikTok”的Anubis木马，其在功能上做了一些改变，并根据实际的需求，增加及优化了一些功能。目前受害者大多均来自俄罗斯，中国国内也有用户中招。"
81,攻击活动分析报告 (181),APT组织黑格莎(Higaisa)针对朝鲜目标进行攻击活动,2019/11/5,暂无数据,['暂无数据'],暂无数据,"腾讯威胁情报中心在2019年年初捕获到一起攻击活动，该攻击活动一直持续到现在。根据对该活动中所使用的攻击技术、被攻击人员背景等分析研判，认为其背后组织为来自韩国的具有政府背景的APT攻击组织，取名为""黑格莎(Higaisa)""。该组织常利用节假日、朝鲜国庆等朝鲜重要时间节点来进行钓鱼活动，诱饵内容包括新年祝福、元宵祝福、以及重要新闻、海外人员联系录等等。除此之外，其恶意软件还伪装成常用软件或下载插件等，针对移动端目标进行攻击。被攻击的对象还包括跟朝鲜相关的外交实体(如驻各地大使馆官员)、政府官员、人权组织、朝鲜海外居民、贸易往来人员等。目前监测到的受害国家包括中国、朝鲜、日本、尼泊尔、新加坡、俄罗斯、波兰、瑞士等。"
82,攻击活动分析报告 (181),新APT组织Calypso揭露，使用木马Calypso RAT进行恶意活动,2019/11/5,暂无数据,['木马后门'],Calypso,国外研究人员最近揭露了新的APT组织Calypso，该组织至少从2016年9月以来一直活跃，主要动机是盗窃机密数据，目标包括巴西、印度、哈萨克斯坦、俄罗斯、泰国和土耳其的政府机构。攻击者使用ASPX Web Shell访问了受感染组织的内部网络，利用SysInternals、Nbtscan、DoublePulsar等公开工具和漏洞来上传webShell。在一次攻击中，该组织使用了Calypso RAT，PlugX和Byeby木马，Calypso RAT是该小组独有的恶意软件。同时，研究人员还发现了其dropper-stager分发了名为Hussar和FlyingDutchman的有效负载。该攻击组织疑似来自于亚洲国家。
83,攻击活动分析报告 (181),APT35研究白皮书,2019/11/4,暂无数据,['鱼叉式网络钓鱼电子邮件'],,APT35又被成为“Charming Kitten”，是归属于伊朗的黑客组织。该组织自2014年活动以来，其目标为伊朗专家、人权活动人士和媒体人员。大多数受害者在中东、美国和英国。
84,攻击活动分析报告 (181),疑似Lazarus针对双平台的攻击活动披露,2019/11/4,暂无数据,"['鱼叉式网络钓鱼电子邮件', '木马后门']",Hidden CobraLazarus,Lazarus APT组织是一个长期活跃的组织，因为2014年攻击索尼影业而开始受到广泛关注，该组织早期主要针对韩国，美国等国家的政府机构进行攻击活动，以窃取情报等信息为目的。自2014年后，该组织开始针对全球金融机构，加密交易机构等为目标，进行敛财活动。
85,攻击活动分析报告 (181),疑似Darkhotel组织利用Chrome零日漏洞，针对朝鲜发起水坑攻击,2019/11/4,暂无数据,[],DarkhotelDarkhotelAPT-C-06,最近，卡巴斯基安全研究人员曝光了WizardOpium攻击行动，攻击者在朝鲜新闻门户主页上插入恶意JavaScript代码，进行水坑式注入攻击。该活动利用Chrome音频组件漏洞(CVE-2019-13720)来执行任意代码，从而下发最终恶意软件。漏洞利用程序尝试使用递归函数创建大量对象，从而开始堆喷寻找在内存未释放的指针进行利用，并在最终执行Shellcode代码，运行嵌入的Payload。然后下载加密的二进制文件(worst.jpg)并解密，恶意软件会将updata.exe释放到磁盘上并执行。为了达到持久化，该恶意软件会在Windows任务计划列表中安装任务。然后会从硬编码的C2服务器中下载下一阶段木马。该攻击行动疑似来自黑客组织Darkhotel。
86,攻击活动分析报告 (181),我国多个重要单位被境外APT黑客组织Bitter攻陷,2019/10/30,暂无数据,['木马后门'],BITTERBITTER蔓灵花蔓灵花,2019年10月27日，推特用户@MisterCh0c发布消息称发现了一款木马控制平台的登录地址http://lmhostsvc[.]net/healthne/login.php， 10月28日，另一用户@sS55752750回复该信息并配有一张后台页面图片，根据图片发现该后台至少记录了12台被控主机的IP地址、计算机名、用户名、操作系统、被控时间及最后一次上线时间等信息。
87,攻击活动分析报告 (181),TA505黑产团伙更新诱饵：使用进度条迷惑受害者,2019/10/30,暂无数据,['APT攻击'],TA505,TA505为proofpoint披露的网络犯罪组织，其相关活动可以追溯到2014年。该组织攻击目标为全球金融机构，采用大规模发送恶意邮件的方式进行攻击，曾经大范围传播Dridex，Locky等恶意程序。近年来各国执法机构已针对该组织采取了多次打击行动，比如通过打击Dridex等僵尸网络来削弱其影响，但都没有起到明显效果，直至今日，TA505仍然在网络上非常活跃。
88,攻击活动分析报告 (181),印度APT组织攻击我国多个目标曝光,2019/10/30,暂无数据,['木马后门'],BITTERBITTER蔓灵花蔓灵花,2019年10月27日，推特@MisterCh0c发布一张照片，通过360CERT研究人员分析，发现该C2控制台隶属于印度网军“蔓灵花”组织（Bitter），该后台控制界面中暴露多个我国IP地址被控制上线。控制台界面显示了木马控制后台的主机信息界面，包括最后上线时间、主机版本信息、用户名称、电脑名称等。
89,攻击活动分析报告 (181),蔓灵花组织木马控制后台被披露，中国多个重要单位受影响,2019/10/30,暂无数据,['木马后门'],BITTERBITTER蔓灵花蔓灵花,最近，国外安全研究人员发现了一款木马控制平台的登录地址http://lmhostsvc[.]net/healthne/login.php，根据其特征，研究人员推测这属于印度APT组织蔓灵花的基础设施。研究人员Twitter截图显示，该后台至少记录了12台被控主机的信息。目前记录的18个IP地址中9个属于中国，主要涉及北京、上海、浙江、广西等地。蔓灵花（T-APT-17、BITTER）是一个长期针对中国、巴基斯坦等国家进行攻击活动的APT组织，长期针对中国的军工业、核能、政府等重点单位。该组织通常使用钓鱼攻击和漏洞利用来传播恶意木马。
90,攻击活动分析报告 (181),疑似南亚地区新APT组织GroupA21相关攻击活动分析,2019/10/30,暂无数据,"['鱼叉式网络钓鱼电子邮件', '木马后门', '跨站脚本攻击', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",,在持续跟踪全球主流黑客组织的过程中，微步在线发现了一个至少自2017年开始活动，主要针对南亚地区各国开展网络间谍活动的新APT组织。该组织的攻击手法与印度背景的SideWinder和Bitter组织存在些许相似，但在攻击细节和所用木马方面存在本质的区别，为方便进行跟踪，微步在线内部将之命名为GroupA21。 基于狩猎和黑客画像系统，微步在线持续跟踪着全球主流的黑客组织。在跟踪的过程中，我们发现一个至少自2017年开始活跃，持续针对南亚地区的巴基斯坦、斯里兰卡、马尔代夫和孟加拉等国的政府、军事、外交、情报、原子能和高校等行业和机构开展网络间谍活动的新APT组织，微步在线内部命名为GroupA21。在攻击时，该组织多利用时政和军事等目标相关信息制作钓鱼邮件和诱饵文档，使用伪装成PDF文档的SFX文件、伪装的LNK文件作为木马投递载体，早期也曾利用CVE-2017-11882漏洞传播木马。
91,攻击活动分析报告 (181),疑似Group123针对中韩外贸人士攻击活动分析,2019/10/29,暂无数据,['木马后门'],APT37Group123ScarCruft,腾讯威胁情报中心检测到针对中韩贸易相关人士的钓鱼攻击活动，该活动疑似来自于朝鲜黑客组织Group123(APT37)。使用的诱饵名字包括韩文和英文的.rar文档。解压后伪装成word图标和名字的可执行文件，该执行文件实际为一个下载器，下载器通过请求链接地址http://artmuseums[.]or.kr/swfupload/fla/1.jpg下载一个隐藏了RAT代码的jpg文件。木马会从同目录的配置文件中获取C2信息，然后对指定目录下的指定扩展名文件进行扫描打包，上传到C2服务器。C2域名为韩国博物馆网站，分析人员推测，攻击者先攻击了该网站，然后将其作为C2，以此来躲避查杀。
92,攻击活动分析报告 (181),指向世界反兴奋剂机构和国际体育组织的网络暗战,2019/10/28,暂无数据,['木马后门'],APT28SofacySednitAPT-C-20STRONTIUM奇幻熊Sofacy,2019年10月28日，微软威胁情报中心报道了一个重要的网络攻击：APT28组织针对全球的反兴奋剂机构和体育组织发起攻击。其认为，随着2020年东京夏季运动会开幕日即将到来之季，披露此次攻击很有必要。
93,攻击活动分析报告 (181),蔓灵花APT组织最新的C#木马组件揭秘,2019/10/26,暂无数据,['暂无数据'],BITTERBITTER蔓灵花蔓灵花,安恒安全研究院猎影威胁情报分析团队于今年4月份监控并发现“蔓灵花”(BITTER)组织针对我国多个敏感部门进行攻击，安全研究团队对该次事件进行深入了分析。通过持续监控，近期又发现其开始了新的攻击，并加入了新的组件。
94,攻击活动分析报告 (181),Lookout钓鱼人工智能发现针对联合国和人道主义组织的钓鱼攻击,2019/10/25,暂无数据,[],暂无数据,最近，国外研究人员发现针对全球非政府组织的移动网络钓鱼活动，其中包括联合国儿童基金会等各种联合国人道主义组织。钓鱼网页会检测系统是否为移动设备，并在将受害者输入密码字段时直接记录击键。除此之外，还会记录目标的密码输入日志，这表明如果受害者误将用于其他地方的密码输入该字段，也会被攻击者记录，这些记录可以被攻击者用于尝试登录受害者的其他账户。
95,攻击活动分析报告 (181),BadPatch活动新发现，使用基于python的恶意软件B3hpy,2019/10/23,暂无数据,['木马后门'],暂无数据,"最近，研究人员发现BadPatch活动新动向，该活动针对中东，可能与加沙黑客有关。在最新发现中，攻击者使用了被研究人员命为""B3hpy""的恶意软件，该恶意软件是由python编译的多组件恶意软件，具有窃取数据的功能。恶意软件疑似通过垃圾邮件分发，并且以中东首相名字命名。运行后会下载托管在Github上的其他负载。B3hpy会创建两个文件，其中一个包含文本""B3h""，另一个包含网络适配器的MAC地址，该文件与C2进行初始通信，C2地址存储在1.txt文件中。攻击者会下载一系列其他组件来收集受害系统数据并通过SMTP方式发送。受害者大部分位于巴勒斯坦。"
96,攻击活动分析报告 (181),TA505组织使用新SDBbot木马，针对希腊、德国等地区金融机构,2019/10/16,暂无数据,['暂无数据'],TA505,国外研究人员最近发现TA505组织通过电子邮件活动，分发新的下载器Get2。该下载器下载了有效负载FlawedGrace，FlawedAmmyy，Snatch和SDBbot(新的RAT)，而SDBbot是新的木马。该组织最近将希腊、德国和乔治亚州等地的金融机构作为目标，分发带有财务主题的恶意邮件。邮件包含恶意的Excel附件，Get2下载器被嵌入到文件中，与Microsoft Excel宏结合使用，收集基本的系统信息并通过GET请求发送给硬编码地址的C2服务器。SDBbot远程访问木马由三部分组成：安装程序，加载程序和RAT组件。安装程序将RAT组件存储在注册表中，并且会通过创建shim数据库(SDB)等方式为加载器组件建立持久性，SDBbot将其C2地址存储在纯文本字符串或文件(ip.txt)中，通过TCP端口443使用纯文本协议通信。
97,攻击活动分析报告 (181),疑似俄罗斯地区新APT组织HexCode的攻击活动分析,2019/9/20,暂无数据,['暂无数据'],APT28SofacySednitAPT-C-20STRONTIUM奇幻熊Sofacy,微步在线近期发现一个疑似具有俄语背景的APT组织，该组织使用的攻击手法与个别目前被曝光的俄罗斯APT组织（APT28、Gamaredon、DragonFly等）存在少许相似，但在攻击细节和使用木马上却存在本质的区别。该组织使用的木马首包是将目标系统配置信息以16进制方式回传到C2。研究人员分析HexCode组织至少自2016年开始活跃，曾使用包含恶意宏或漏洞利用(CVE-2017-11882)的文档作为诱饵，近期则多使用RAR自解压文档作为诱饵。2019年以来，发现该组织利用多种哈萨克斯坦时事主题文档，对哈克斯坦政府、外交、情报机构、医疗卫生等行业组织机构进行鱼叉攻击。8月，该组织针对哈萨克斯坦信息技术市场上最大的公司NITEC相关员工发起钓鱼攻击，该司主要服务国家机构。为了避免附件木马被自动化识别检测，攻击者对附件使用密码加密压缩。
98,攻击活动分析报告 (181),Donot APT组织（肚脑虫）伪装克什米尔新闻APP的攻击活动分析,2019/9/10,暂无数据,['暂无数据'],DonotAPT-C-35肚脑虫,Donot“肚脑虫”（APT-C-35）是疑似具有南亚背景的APT组织，由奇安信威胁情报中心红雨滴团队（@RedDrip7）持续跟踪发现并命名，其主要针对巴基斯坦等南亚地区国家进行网络间谍活动。该APT组织主要针对政府机构等领域进行攻击，以窃取敏感信息为主要目的。该APT组织除了以携带Office漏洞或者恶意宏的鱼叉邮件进行恶意代码的传播之外，还格外擅长利用安卓APK进行恶意代码传播。
99,攻击活动分析报告 (181),境外响尾蛇组织伪装我国相关部门 对他国驻华使馆发起攻击,2019/8/30,暂无数据,['暂无数据'],T-APT-04响尾蛇,国内研究人员最近发现一起响尾蛇组织的恶意攻击活动。恶意样本伪装成我国国防部国际合作部门办公室文件，尝试利用CVE-2017-11882漏洞向他国驻华使馆人员投递远控木马。木马文件利用白利用技术，经过多次内存装载执行，达到窃取信息的目的。窃密模块通过遍历收集的目标文件目录，通过文件后缀排除自身记录痕迹，对各文件打上相应的协议标签，然后把文件数据以及标签项封装成json的压缩格式上传到C&amp;C服务器。
100,攻击活动分析报告 (181),Emotet僵尸网络又回来了，服务器活跃在世界各地,2019/8/23,暂无数据,"['僵尸网络', '跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '远控木马', '供应链攻击', '漏洞利用', '无文件攻击']",暂无数据,Emotet僵尸网络的指挥和控制（C2）服务器似乎已恢复活动并再次交付二进制文件。这是自6月初以来一直处于惰性状态的情况。虽然Emotet在2014年开始是一个银行特洛伊木马，但它改变了路线，成为一个僵尸网络，提供各种恶意软件。Emotet现在是最大的威胁之一，其基础设施被用来分发Trickbot，另一个银行特洛伊木马，然后传播Ryuk勒索软件。这种组合被称为“三重威胁”，已经影响到美国的公共行政。
101,攻击活动分析报告 (181),APT组织Silence使用更新TTP攻击全球银行,2019/8/22,暂无数据,"['鱼叉式网络钓鱼电子邮件', '木马后门', '跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",Silence,安全厂商Group-IB披露了APT组织Silence近期开展的攻击活动，不断使用新策略攻击全球银行。2019年Silence已经感染了欧洲、拉丁美洲、非洲和亚洲30多个国家的工作站，窃取金额对比2018年发现的活动增加了5倍。Silence使用网络钓鱼电子邮件来感染受害者，新策略中通过发送不带有恶意载荷的侦察电子邮件，作为其攻击准备阶段，获取有效电子邮件列表以供将来攻击，并获取有关目标公司使用的网络安全解决方案的信息。最初的感染阶段，完全重写了加载器TrueBot之外，开始使用PowerShell编写的无文件加载器Ivoke。在横向移动阶段，使用的新工具为以前未知的基于Empire和dnscat2项目的PowerShell代理EmpireDNSAgent，旨在通过命令shell和使用DNS协议的隧道传输来执行任务，从而控制系统。研究人员还发现Silence和TA505之间可能存在联系。
102,攻击活动分析报告 (181),Mykings僵尸网络近期活动分析报告,2019/8/21,暂无数据,"['僵尸网络', '跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",暂无数据,2019年4月，安天CERT在客户侧威胁检测系统（安天探海）捕获的异常网络流量中发现了Mykings僵尸网络的挖矿行为。安天CERT分析人员通过对异常网络流量进行分析定位到了攻击者C2服务器，并获得了其FTP服务器的登陆凭证。Mykings僵尸网络C2服务器安装的是Windows操作系统，并对外开放21端口用来接收受害主机上传的敏感信息，开放80和8888端口用来挂载指令和木马文件。Mykings在开源代码PcShare的基础上进行了修改，主要功能是循环请求C2服务执行更新自身、执行命令、下载Xmrig“挖矿”软件等，还会请求C2获取杀死进程的列表，列表内容主要包括木马和“挖矿”程序。 除了挖矿行为外，Mykings还会从其他C2下载执行恶意代码。
103,攻击活动分析报告 (181),朝鲜APT组织涉嫌针对多国外交部的钓鱼攻击活动,2019/8/21,暂无数据,"['漏洞利用', '鱼叉式网络钓鱼电子邮件']",Kimsuky,Anomali研究人员发现一个伪装成法国外交部门户登录页面的钓鱼网站，进一步跟踪发现，该钓鱼活动针对三个不同国家外交部机构和四家研究型组织，其中一些域名还。其中一些恶意域名伪装成电子邮件提供商域名，以降低可疑性，从而窃取登录凭证信息。该活动部分基础设施与朝鲜黑客组织的Kimsuky活动域名重叠，并且其中一名受害者与朝鲜制裁方面工作有关。活动中的许多域名并不活跃，尽管大多数域名都是今年注册，可能攻击者在未来的攻击中会使用到。
104,攻击活动分析报告 (181),Magecart组织利用Poker Tracker供应链，窃取扑克迷个人信息,2019/8/20,暂无数据,"['供应链攻击', '漏洞利用']",MageCart,研究人员最近揭露了Magecart团伙针对扑克迷的信息窃取活动，攻击者在Poker Tracker(一种面向扑克牌爱好者的软件套件)的网站注入定制化skimmer代码，一旦用户启动Poker Tracker，便会在应用程序中加载受感染的网页。攻击者在域名ajaxclick[.]com上托管了不同的skimmer文件，每个文件都是针对特定的受害者网站。为了避免安全研究人员的审查，攻击者实现了部分服务端代码，确保使用HTTP请求头传递唯一引用。
