,国家,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
151,巴基斯坦 (26),游荡于中巴两国的魅影——响尾蛇(SideWinder) APT组织针对巴基斯坦最近的活动以及2019年该组织的活动总结,2020/1/1,Gcow,"['恶意邮件', '恶意软件', '木马后门', '漏洞利用', ':', 'CVE', '-', '2017', '-', '11882']",T-APT-04响尾蛇,"Gcow安全团队追影小组于2019年11月份捕获到名为SideWinder(响尾蛇)组织针对巴基斯坦的活动,介于该组织主要针对巴基斯坦和中国以及其他东南亚国家,且其于10月份时候针对中国部分国防重要行业进行类似手法的攻击活动,为了更好了解对手的攻击手段以及加以防范,团队将以最近的样本为契机来总结该组织为期一年的攻击活动. 响尾蛇（又称SideWinder、T-APT-04）是一个背景可能来源于印度的APT组织,该组织此前已对巴基斯坦和东南亚各国发起过多次攻击, 该组织以窃取政府，能源，军事，矿产等领域的机密信息为主要目的。此次的攻击事件以虚假邮件为诱饵，利用Office远程代码执行漏洞（cve-2017-11882）或者通过远程模板注入技术加载远程URL上的漏洞文件.在针对于巴基斯坦的攻击中我们发现了Lnk文件的载荷,其主要驱动是mshta.exe，攻击者通过各种方式以达到伪装的目的"
152,巴基斯坦 (26),肚脑虫(Donot)组织和C-Major组织的钩沉拾遗,2019/12/28,安恒信息,"['鱼叉', '攻击']",DonotAPT-C-35肚脑虫TransparentTribe,近期，安恒安全研究院猎影威胁分析团队对肚脑虫(donot)组织进行了一些梳理，在梳理过程中，又发现了一些和 C-Major 组织的关联项。于是对这两个组织做了对比分析。
153,巴基斯坦 (26),蔓灵花（APT-C-08）移动平台攻击活动揭露,2019/12/19,360,['暂无数据'],BITTERBITTER蔓灵花蔓灵花,蔓灵花（APT-C-08）APT组织是一个长期针对中国、巴基斯坦等国家进行攻击活动的APT组织，主要攻击政府、电力和军工行业相关单位，以窃取敏感信息为主，具有强烈的政治背景，是目前活跃的针对境内目标进行攻击的境外APT组织之一。该组织最早在2016被国外安全公司进行了披露，并且命名为“BITTER”，同年360也跟进发布了分析报告，将该组织命名为“蔓灵花”。 迄今为止有数个国内外安全团队持续追踪并披露该组织PC端的最新攻击活动。 2019年8月，360烽火实验室在日常样本分析中发现一新型Android木马，根据其CC特点将其命名为SlideRAT，深入分析后发现该家族木马属于蔓灵花组织。此后，我们对该家族样本进行持续监控，2019年11初，我们发现SlideRAT攻击中国军工行业从事人员，11月中旬，该家族样本开始攻击中国驻巴基斯坦人员。短短半个月内，蔓灵花组织在移动平台至少进行了两次的攻击活动，且受害者均为中国人，我们猜测随着年关将近，该时间段为该组织针对我国攻击的高发期。鉴于此我们决定通过已有情报和数据，将该家族在移动平台的攻击活动进行揭露。
154,巴基斯坦 (26),响尾蛇组织针对巴基斯坦活动，使用新的恶意负载隐藏策略,2019/11/8,瑞星,['暂无数据'],T-APT-04响尾蛇,"瑞星安全研究院最近发现APT组织响尾蛇针对巴基斯坦海军的攻击活动，主要目的是窃取政府，能源，军事，矿产等领域的机密信息。攻击者投放虚假的快捷方式文件""Key_Points.doc.lnk""，文件伪装成巴基斯坦海军公共关系总局发布的印度与中国领导人会谈新闻稿，诱导目标点击。在链接目标中可以看到显示调用的目标应用程序为cftmo.exe，但用户点击访问后将执行System32中的mshta.exe，通过mshta下载执行指定URL恶意脚本文件。安全研究人员将这种隐藏目标程序的技术称为""Link文件路径的目标劫持技术""。其利用了操作系统在右键显示属性的时候会优先使用 EnviromentVariableDataBlock中指定的程序路径，而不会判断该目标程序是否存在。下载的样本692cd02.hta是个JavaScript脚本文件，会从指定链接地址获取其他恶意负载盗取电脑文件信息。"
155,巴基斯坦 (26),我国多个重要单位被境外APT黑客组织Bitter攻陷,2019/10/30,微步在线,['木马后门'],BITTERBITTER蔓灵花蔓灵花,2019年10月27日，推特用户@MisterCh0c发布消息称发现了一款木马控制平台的登录地址http://lmhostsvc[.]net/healthne/login.php， 10月28日，另一用户@sS55752750回复该信息并配有一张后台页面图片，根据图片发现该后台至少记录了12台被控主机的IP地址、计算机名、用户名、操作系统、被控时间及最后一次上线时间等信息。
156,巴基斯坦 (26),印度APT组织攻击我国多个目标曝光,2019/10/30,360,['木马后门'],BITTERBITTER蔓灵花蔓灵花,2019年10月27日，推特@MisterCh0c发布一张照片，通过360CERT研究人员分析，发现该C2控制台隶属于印度网军“蔓灵花”组织（Bitter），该后台控制界面中暴露多个我国IP地址被控制上线。控制台界面显示了木马控制后台的主机信息界面，包括最后上线时间、主机版本信息、用户名称、电脑名称等。
157,巴基斯坦 (26),蔓灵花组织木马控制后台被披露，中国多个重要单位受影响,2019/10/30,安恒信息,['木马后门'],BITTERBITTER蔓灵花蔓灵花,最近，国外安全研究人员发现了一款木马控制平台的登录地址http://lmhostsvc[.]net/healthne/login.php，根据其特征，研究人员推测这属于印度APT组织蔓灵花的基础设施。研究人员Twitter截图显示，该后台至少记录了12台被控主机的信息。目前记录的18个IP地址中9个属于中国，主要涉及北京、上海、浙江、广西等地。蔓灵花（T-APT-17、BITTER）是一个长期针对中国、巴基斯坦等国家进行攻击活动的APT组织，长期针对中国的军工业、核能、政府等重点单位。该组织通常使用钓鱼攻击和漏洞利用来传播恶意木马。
158,巴基斯坦 (26),疑似南亚地区新APT组织GroupA21相关攻击活动分析,2019/10/30,微步在线,"['鱼叉', '式', '网络钓鱼', '电子邮件', '鱼叉', '攻击', '木马后门', '社工手段', '网络钓鱼', '漏洞利用', ':', 'CVE', '-', '2017', '-', '11882']",,在持续跟踪全球主流黑客组织的过程中，微步在线发现了一个至少自2017年开始活动，主要针对南亚地区各国开展网络间谍活动的新APT组织。该组织的攻击手法与印度背景的SideWinder和Bitter组织存在些许相似，但在攻击细节和所用木马方面存在本质的区别，为方便进行跟踪，微步在线内部将之命名为GroupA21。 基于狩猎和黑客画像系统，微步在线持续跟踪着全球主流的黑客组织。在跟踪的过程中，我们发现一个至少自2017年开始活跃，持续针对南亚地区的巴基斯坦、斯里兰卡、马尔代夫和孟加拉等国的政府、军事、外交、情报、原子能和高校等行业和机构开展网络间谍活动的新APT组织，微步在线内部命名为GroupA21。在攻击时，该组织多利用时政和军事等目标相关信息制作钓鱼邮件和诱饵文档，使用伪装成PDF文档的SFX文件、伪装的LNK文件作为木马投递载体，早期也曾利用CVE-2017-11882漏洞传播木马。
159,巴基斯坦 (26),,2019/10/23,FORTINET,"['钓鱼攻击', '木马后门']",暂无数据,"最近，研究人员发现BadPatch活动新动向，该活动针对中东，可能与加沙黑客有关。在最新发现中，攻击者使用了被研究人员命为""B3hpy""的恶意软件，该恶意软件是由python编译的多组件恶意软件，具有窃取数据的功能。恶意软件疑似通过垃圾邮件分发，并且以中东首相名字命名。运行后会下载托管在Github上的其他负载。B3hpy会创建两个文件，其中一个包含文本""B3h""，另一个包含网络适配器的MAC地址，该文件与C2进行初始通信，C2地址存储在1.txt文件中。攻击者会下载一系列其他组件来收集受害系统数据并通过SMTP方式发送。受害者大部分位于巴勒斯坦。"
160,巴基斯坦 (26),Donot APT组织（肚脑虫）伪装克什米尔新闻APP的攻击活动分析,2019/9/10,奇安信,['暂无数据'],DonotAPT-C-35肚脑虫,Donot“肚脑虫”（APT-C-35）是疑似具有南亚背景的APT组织，由奇安信威胁情报中心红雨滴团队（@RedDrip7）持续跟踪发现并命名，其主要针对巴基斯坦等南亚地区国家进行网络间谍活动。该APT组织主要针对政府机构等领域进行攻击，以窃取敏感信息为主要目的。该APT组织除了以携带Office漏洞或者恶意宏的鱼叉邮件进行恶意代码的传播之外，还格外擅长利用安卓APK进行恶意代码传播。
161,巴基斯坦 (26),Donot团伙（APT-C-35）移动端新攻击框架工具分析,2019/7/3,奇安信,['暂无数据'],DonotAPT-C-35肚脑虫,奇安信高级威胁研究团队最近发现Donot组织的新诱饵，一款名为“SafeShareV67”的移动app，该app使用腾讯微信包名（com.tencent.mm）来伪装自己，诱骗用户安装。运行该样本后会弹出是否开启辅助功能设置框，同时删除图标隐藏自身。恶意后门定时从服务端获取远程控制指令，窃取受害者机器数据。除此之外，该样本利用Google Docs(谷歌在线文档编辑系统)获取C&amp;C信息。该攻击活动以巴基斯坦相关人士作为首要攻击目标。
162,巴基斯坦 (26),响尾蛇（SideWinder）APT组织针对南亚的攻击活动披露,2019/2/26,腾讯,['暂无数据'],T-APT-04响尾蛇,"""响尾蛇""（SideWinder、T-APT-04）从2017年底到2019年初持续针对巴基斯坦等南亚国家军事目标进行定向攻击。近期，又有针对南亚的攻击活动被发现。本次攻击诱饵采用CVE-2017-11882漏洞进行攻击，触发漏洞后，会从远程地址获取hta，然后调用RunHtmlApplication，将命令行中的final.hta执行。该组织的攻击诱饵主要有以下两类：lnk和office文档。有效荷载会先获取杀软的名称，如果不是“360”、“ avast”，就上报杀软的名称到相应的服务器。最终释放的恶意文件为一个VB写的后门文件，用来收集用户信息、记录键盘和鼠标的操作等。目前该组织的攻击目标主要在巴基斯坦，但是由于地缘关系，也不排除针对中国境内的目标发起攻击，因此相关部门、单位和企业切不可掉以轻心。"
163,巴基斯坦 (26),蔓灵花组织使用恶意软件ArtraDownloader针对巴基斯坦,2019/2/25,paloalto,['暂无数据'],BITTERBITTER蔓灵花蔓灵花,国外研究人员揭露了蔓灵花APT组织一直在使用未被曝光的下载器，并将其命名为ArtraDownloader。该恶意下载器至少从2015 年以来就被蔓灵花组织用于攻击巴基斯坦和中国的相关机构。该下载器存在三个变体，最早时间戳为2015年2月，此恶意软件常被用于下载远程木马BitterRAT。2018年9月中旬至2019年1月之间，ArtraDownloader被观察到针对巴基斯坦和沙特阿拉伯组织，其与被破坏的合法网站进行通信，获取有效负载。总体而言，ArtraDownloader恶意软件家族并不复杂，其利用简单的注册表项来实现持久性和HTTP请求，以下载并执行远程文件。这些样本中的重要字符串通过对字符串中的每个字节进行加或减来混淆，通过HTTP发送的数据使用相同的混淆方式。
164,巴基斯坦 (26),SideWinder“响尾蛇”APT组织（T-APT-04 ） 针对南亚的定向攻击威胁,2018/5/22,腾讯,['暂无数据'],T-APT-04响尾蛇,近日腾讯御见威胁情报中心捕获到了SideWinder（响尾蛇） APT组织的一个最新攻击样本，该APT组织疑似来自印度，最早活跃可追溯到2012年。主要针对巴基斯坦等南亚国家的军事目标进行定向攻击。
165,巴基斯坦 (26),MuddyWater APT瞄准中东地区,2017/11/22,REAQTA,['暂无数据'],暂无数据,MuddyWater是一个APT攻击自组织，引起了我们的注意，因为他们在针对中东的有针对性的战役中广泛使用了“生活在陆地上”的攻击。在我们的调查过程中，我们重建了所使用的载体的演变以及该小组如何操作以瞄准受害者，逃避检测并在受损基础设施内横向移动。
166,巴基斯坦 (26),解析2017年APT组织Gaza Cybergang最新动向,2017/10/30,Kaspersky,"['后门木马', '社会工程', '鱼叉', '式', '钓鱼攻击', '漏洞利用', '水坑攻击']",Gaza Cybergang,2017年，卡巴斯基发现一个关于Gaza Cybergang间谍组织的有趣的新情况，该组织针对MENS的一个石油和天然气组织进行攻击，渗透目标的系统并窃取数据，攻击时长超过一年。 此外，还检测到Gaza Cybergang间谍组织最近开始利用CVE 2017-0199漏洞，下载脚本被嵌入到MS Access文件中以降低其被检测到的可能性。从 2017年4月下旬开始出现了使用移动端恶意软件的痕迹。 Gaza Cybergang组织展示了其发起大量攻击和利用先进的社会工程学的能力，除了积极开发攻击活动、基础设施以及应用新技术、新方法之外，攻击者还努力的改进其工具包，确保尽量躲避掉安全产品和服务的检测。预计短期内这类攻击活动还会加剧，无论是在质量上还是数量上。
167,巴基斯坦 (26),WhiteBear组织的攻击手法分析,2017/8/30,Kaspersky,"['后门木马', '鱼叉', '式', '钓鱼攻击', '漏洞利用', '水坑攻击']",WaterbugTurla,白象是一个来自于南亚地区的境外APT组织，组织主要针对中国、巴基斯坦等亚洲地区和国家的政府机构、科研教育领域进行攻击。部分基础设施和代码和蔓灵花、孔子重合，这几个组织间疑似有千丝万缕的关系。该组织在2018年同样多次对中国的多个目标进行了攻击活动。该组织同样使用鱼叉攻击，诱饵文档带有强烈的政治意味。
168,韩国 (23),Lookout发现了性侵犯者用来勒索iOS和Android用户的新间谍软件,2020/12/16,Lookout,"['勒索软件', '间谍', '软件']",暂无数据,Lookout威胁情报团队发现了一种针对中文国家，韩国和日本的iOS和Android用户的新型移动应用程序威胁。我们将其命名为Goontact的间谍软件针对通常提供护送服务的非法站点的用户，并从其移动设备中窃取个人信息。用于分发这些恶意应用程序的网站类型和泄露的信息表明，最终目的是勒索或勒索。
169,韩国 (23),美国大选下的APT攻击：Kimsuky以选举结果预测为诱饵的攻击活动分析,2020/11/4,奇安信,['钓鱼攻击'],Kimsuky,Kimsuky，别名Mystery Baby，Baby Coin，Smoke Screen，Black Banshe。疑似具有东北亚背景，主要针对韩国，俄罗斯进行攻击活动，最早由卡巴斯基披露。韩国安全公司认为其与Group123存在部分重叠。 美国2020大选竞争激烈，也引起了全世界的关注。近日奇安信威胁情报中心红雨滴团队在日常高级威胁狩猎中，捕获东北亚地区的Kimsuky APT组织以美国大选为诱饵的攻击样本，该样本以美国总统大选预测为标题，诱导受害者点击执行，同时采用在HWP文档中嵌入VBS脚本方式，有效的绕过杀软检测，该样本在首次上传到VirusTotal时，没有杀软检测到其恶意代码。
170,韩国 (23),朝鲜高级持续威胁焦点：Kimsuky,2020/10/27,CISA,"['鱼叉', '式', '网络钓鱼', '社会工程学', '水坑攻击']",Kimsuky,"US-CERT披露截至2020年7月已发现的朝鲜APT组织Kimsuky的TTP（战术, 技术与过程）。Kimsuky可能自2012年以来一直在运营，进行全球情报收集任务。Kimsuky针对韩国、日本和美国的个人和组织开展情报收集活动，重点放在与朝鲜半岛、核政策和制裁有关的外交政策和国家安全问题上，特别针对各个领域专家、智囊团、韩国政府实体。Kimsuky采用常见的社会工程策略、鱼叉式网络钓鱼和水坑攻击，从受害者那里窃取所需信息，其中使用鱼叉式网络钓鱼获得对受害者主机或网络的初始访问权限。"
171,韩国 (23),疑似 KimsukyAPT 组织最新攻击活动样本分析,2020/9/4,知道创宇,"['钓鱼攻击', '木马后门']",Kimsuky,Kimsuky APT是一个长期活跃的APT攻击组织，一直针对于韩国的智囊团、政府组织、新闻组织、大学教授等等进行活动。并且该组织拥有多平台的攻击能力，载荷便捷，阶段繁多。国内研究人员发现疑似该组织最新的攻击样本，该样本为伪装为word文件图标的pe文件。其执行后生成一个伪装的doc文件，主题为韩国某学校相关的文档，起到迷惑受害者的作用。其窃取的信息包括系统临时文件，系统信息。
172,韩国 (23),更多证据显示，APT黑客受雇于工业间谍活动,2020/8/26,Bitdefender,"['间谍', '软件']",暂无数据,胁情报实验室又发现了一起针对一家主要业务为国际建筑和视频制作公司的间谍攻击，在该公司发现了明显的攻击特征。Bitdefender的研究人员在今天发布的一份报告中说:“这个网络犯罪集团使用了一个污染的、专门为Autodesk 3ds Max制作的插件来渗透该公司。” 在调查期间，Bitdefender的研究人员还发现， 攻击组织拥有一整套强大间谍能力的工具。基于Bitdefender的遥测技术，研究者还发现了其他类似的恶意软件样本，都与同一个命令和控制服务器通信，时间可以追溯到一个月前。这个威胁组织可能锁定了位于韩国、美国、日本和南非的特定目标。
173,韩国 (23),安全厂商披露多平台恶意软件框架MATA,2020/7/22,securelist,['恶意软件'],暂无数据,卡巴斯基研究人员报告了被称为MATA的恶意软件框架。MATA恶意软件框架具有多个组件，如加载器、协调器和插件。该框架能够针对Windows、Linux和macOS操作系统。研究人员发现MATA在2018年4月左右被使用，并在之后不断被使用渗透波兰、德国、土耳其、韩国、日本和印度等多国企业实体，试图进行数据库查询以获取客户列表。此外，MATA还用于分发VHD勒索软件。研究人员评估MATA框架与Lazarus APT组织存在联系。
174,韩国 (23),研究人员发现RATicate组织攻击多国工业公司,2020/5/14,SOPHOS,['钓鱼邮件'],暂无数据,Sophos研究人员发现被称为RATicate组织发起的一系列攻击活动，目前已确定2019年11月至2020年1月之间的五个单独的活动，这些活动针对欧洲、中东和韩国工业公司。攻击活动使用了NSIS安装程序，NSIS是一个开源的Windows系统下安装程序制作程序。NSIS安装程序通过钓鱼邮件附件文档释放或远程链接下载释放。然后，它将释放初始DLL加载程序和加密数据。加载程序从内存缓冲区中的Cluck文件解密shellcode和第二个加载程序，在NSIS释放垃圾文件时将该加载程序注入内存。第二个加载程序再次读取Cluck文件，解密从未使用过的shellcode，在子进程中注入最终的有效载荷，其中包括Lokibot、Betabot、Formbook和AgentTesla。研究人员表示，根据活动中使用的有效载荷，该组织旨在获得对目标公司网络上计算机的访问和控制权，目前还不确定该组织是专注于企业间谍活动还是仅充当恶意软件即服务的提供商。
175,韩国 (23),Lazarus组织使用Covid主题HWP文档针对韩国,2020/5/9,medium,['恶意软件'],APT-C-26bluenoroff:,国外分析人员Dinesh发现，Lazarus组织正在使用Covid主题的HWP文档针对韩国。恶意代码模块包含各种已知恶意软件基因，包括Petya、Trickbot、Gandcrab，还有来自TeamViewer和Dameware等管理工具的基因。其主要功能包括：读取剪贴板数据、记录击键、包含killswitch以选择受害者、高度混淆的文件、检测沙盒环境以逃避检测、执行计时，通常用于检测调试器、长时间的睡眠、检查调试器是否正在运行(IsDebuggerPresent)。
176,韩国 (23),Lazarus APT组织使用西方某航空巨头招聘等信息针对特定国家的定向攻击事件分析,2020/4/30,奇安信,['暂无数据'],APT-C-26bluenoroff:,LazarusAPT组织是疑似具有东北亚背景的APT团伙，该组织攻击活动最早可追溯到2007年，其早期主要针对韩国、美国等政府机构，以窃取敏感情报为目的。自2014年后，该组织开始针对全球金融机构、虚拟货币交易所等为目标，进行以敛财为目的的攻击活动。 据公开情报显示，2014 年索尼影业遭黑客攻击事件，2016 年孟加拉国银行数据泄露事件，2017年美国国防承包商、美国能源部门及英国、韩国等比特币交易所被攻击等时间都出自Lazarus之手。 4月中旬，奇安信红雨滴团队披露了Lazarus组织利用特殊文件格式-hwp文件针对韩国的定向攻击活动，近日，红雨滴团队和奇安信APT实验室又监测到该组织利用敏感国家外交关系，西方某航空航天巨头招聘等信息开展新一轮攻击活动。此次活动中，该组织采用模板注入的方式从远程服务器获取带有恶意宏的文档执行，从而绕过杀软检测，值得注意的是第一次上传VirusTotal时仅有一家杀软成功检出。
177,韩国 (23),黑客组织WINNTI GROUP使用DNS隧道技术，针对德国化工公司,2020/4/20,quointelligence,['木马后门'],Winnti Groupapt17AxiomGroup72Winnti Group,2020年1月，QuoIntelligence（QuoINT）检测到一个新的Winnti样本，该样本从德国上传到公开病毒扫描程序。经过初步分析，研究人员发现该样本已用于攻击德国化工公司Tagesschau。研究人员发现了一个Winnti Group的工具包，其中使用了新的C2技术。该技术利用iodine 源代码实现DNS隧道通信通道，iodine 是一个开放源代码软件，可以通过DNS服务器建立IPv4数据的隧道。此外，研究人员还发现了一个以前未知的被盗数字证书，用于对Winnti相关的攻击组件进行数字签名，并且以韩国视频游戏公司Gravity为目标。
178,韩国 (23),近期使用新冠疫情（COVID-19）为诱饵的APT攻击活动汇总,2020/3/28,腾讯,"['恶意脚本', '木马后门', ',', '勒索软件', '钓鱼邮件']",APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotusTA505BITTERBITTER蔓灵花蔓灵花KimsukyTransparentTribe,目前，由新型冠状病毒引起的肺炎疫情（COVID-19）在全球蔓延，已有190个国家存在确诊病例，全球确诊人数已经超过43万人，死亡病例超过1.9万。中国大陆已基本控制住疫情，但在意大利、西班牙、美国等发达国家疫情仍处于爆发期，世界卫生组织已将疫情的全球风险级别确定为“非常高”。 而随着新冠病毒疫情（COVID-19）在全球蔓延，以此为主题的网络攻击事件骤然增长。其中中国大陆、意大利、韩国等国家成为黑客网络攻击的高风险地区。腾讯安全威胁情报中心自疫情爆发后，已检测到多起以新冠病毒疫情为主题的攻击活动。 攻击者大多以投递邮件的方式，构造诱饵文件欺骗用户点击，恶意文件类型多种多样，覆盖EXE、MS Office宏文档、漏洞文档、lnk文件、VBS脚本等。而攻击的背景也包括具有国家背景的专业APT组织和普通黑产组织。本文对近期发现的以新冠病毒疫情为诱饵的攻击活动加以汇总，供大家参考。在此提醒广大政企单位和个人用户，在做好疫情防控的同时，也要做好网络安全的防护工作。
179,韩国 (23),谨防Kim Suki伪装成简历的``Blue Esteeate Part5''APT攻击,2020/3/2,ESTsecurity,['恶意软件'],Kimsuky,ESTsecurity在2月28日发现Kimsuky组织针对韩国进行APT攻击。该活动使用伪装的hwp文档简历，打开后将释放有效载荷。带有自动运行功能的第一个DLL有效载荷执行后，通过连接到实际C＆C，来执行可进行恶意操作的第二个DLL有效载荷。恶意代码将注入并添加到Windows explorer.exe中，最后下载恶意软件并上传收集的信息，并等待攻击者的其它指示。
180,韩国 (23),微软起诉朝鲜APT组织Thallium，并接管其使用的50个域名,2019/12/31,MicroSoft,['暂无数据'],Thallium,最近，微软起诉了黑客组织Thallium，并成功接管了该组织运营的50个威胁域。Thallium是一个来自于朝鲜的攻击组织，通常使用鱼叉式网络钓鱼技术针对包括政府、高等院校等目标，大多数目标位于美国、日本和韩国。该组织至少从2018年5月起，发起了名为STOLEN PENCIL的鱼叉式钓鱼攻击活动，针对学术机构，以窃取凭据信息。同时，还使用了名为BabyShark的恶意软件来收集东北亚国家安全问题有关的情报。 参考信息
181,韩国 (23),针对韩国工业集团的APT攻击，使用Separ凭证窃取软件,2019/12/16,cyberx,['暂无数据'],暂无数据,CyberX威胁情报小组发现持续进行的工业网络间谍活动，该活动主要针对位于韩国的数百家制造业和工业公司，包括电力设备制造商、钢铁制造商、化工厂建设公司等。攻击者通过发送带有工业主题的鱼叉式网络钓鱼邮件发起攻击。该活动使用了新版本的Separ凭证窃取恶意软件，该软件最早在2013年被发现。新版本增添了文件收集和通过Autorun持久化功能，除此之外，还增添了其他开源组件。安装后，恶意软件禁用防火墙，窃取浏览器和电子邮件凭据，以及搜索一系列扩展名的文档，包括Office文档和图像，并将这些信息传送到免费的FTP服务器(ftp[.]freehostia[.]com)上。
182,韩国 (23),Lazarus组织使用Mac后门，针对韩国目标,2019/11/21,TrendMicro,['暂无数据'],APT-C-26,趋势科技研究人员最近发现Mac后门新变种，该变种归因于Lazarus。该样本使用了带有嵌入式宏的Excel文档，一旦运行，宏将运行PowerShell脚本，并尝试连接到三个C2服务器。除此之外，研究人员还发现一个Mac应用程序包，该程序与恶意的电子表格共享类似的C2服务器。Mac应用程序包包含两个Flash Player文件：一个合法版本和一个恶意版本。程序运行时，合法的Flash Player运行播放诱饵SWF视频，播放视频的同时恶意程序将创建隐藏木马后门，该后门功能类似于发现的PowerShell后门。
183,韩国 (23),疑似Darkhotel组织利用Chrome零日漏洞，针对朝鲜发起水坑攻击,2019/11/4,Kaspersky,['水坑攻击'],DarkhotelDarkhotelAPT-C-06,最近，卡巴斯基安全研究人员曝光了WizardOpium攻击行动，攻击者在朝鲜新闻门户主页上插入恶意JavaScript代码，进行水坑式注入攻击。该活动利用Chrome音频组件漏洞(CVE-2019-13720)来执行任意代码，从而下发最终恶意软件。漏洞利用程序尝试使用递归函数创建大量对象，从而开始堆喷寻找在内存未释放的指针进行利用，并在最终执行Shellcode代码，运行嵌入的Payload。然后下载加密的二进制文件(worst.jpg)并解密，恶意软件会将updata.exe释放到磁盘上并执行。为了达到持久化，该恶意软件会在Windows任务计划列表中安装任务。然后会从硬编码的C2服务器中下载下一阶段木马。该攻击行动疑似来自黑客组织Darkhotel。
184,韩国 (23),疑似Group123针对中韩外贸人士攻击活动分析,2019/10/29,腾讯,"['钓鱼攻击', '木马后门']",APT37Group123ScarCruft,腾讯威胁情报中心检测到针对中韩贸易相关人士的钓鱼攻击活动，该活动疑似来自于朝鲜黑客组织Group123(APT37)。使用的诱饵名字包括韩文和英文的.rar文档。解压后伪装成word图标和名字的可执行文件，该执行文件实际为一个下载器，下载器通过请求链接地址http://artmuseums[.]or.kr/swfupload/fla/1.jpg下载一个隐藏了RAT代码的jpg文件。木马会从同目录的配置文件中获取C2信息，然后对指定目录下的指定扩展名文件进行扫描打包，上传到C2服务器。C2域名为韩国博物馆网站，分析人员推测，攻击者先攻击了该网站，然后将其作为C2，以此来躲避查杀。
185,韩国 (23),,2019/10/28,腾讯,"['勒索软件', '钓鱼攻击']",暂无数据,"最近，腾讯安全御见威胁情报中心检测到，大量通过钓鱼邮件传播的sodinokibi勒索病毒攻击中韩两国企业，并勒索0.15个比特币(7800元人民币)，中招企业主要集中在广东、山东、江苏等地。钓鱼邮件伪装成""偿还债务""、""支付汇款建议""主题，诱导目标下载。恶意负载伪装成表格文件避免被怀疑，加密后会修改桌面背景为深蓝色并创建勒索文本readme.txt，该病毒加密后的文件暂时无法解密。根据监测，在一天内攻击者使用伪造的近1000个邮箱地址针对国内目标发送超过5万封钓鱼邮件。"
186,韩国 (23),SectorJ04组织上半年活动分析报告,2019/8/29,THREATRECON,"['漏洞', '攻击', '木马后门', '网络钓鱼']",TA505,NSHC RedAlert Labs的ThreatRecon团队发布SectorJ04（又名TA505）组织2019年上半年活动分析报告。SectorJ04为俄罗斯网络犯罪组织，大约2014年开始运营，并利用针对欧洲、北美和西非国家和工业部门的恶意软件进行黑客活动以获取经济利益。2019年上半年，该组织活动明显增多，主要表现为以下三点：第一增加针对东亚和东南亚的黑客活动，包括韩国、中国、中国台湾和菲律宾等；第二垃圾邮件格式和黑客方法的变化，利用各种语言编写的垃圾邮件，包括英语、阿拉伯语、韩语和意大利语，使用多种内容主题的电子邮件，包括汇款卡、发票和税务发票。开始使用HTML文件作为附件或者文本中包含链接下载恶意文档，除了ServHelper和FlawedAmmy之外，还使用AdroMut和FlowerPippi后门；第三从特定组织和行业到随机目标，使其能够扩大活动的目标范围以获取经济利益。
187,韩国 (23),TA505针对多国投放ServHelper和FlawedAmmyy,2019/8/27,TrendMicro,"['钓鱼攻击', '木马后门']",暂无数据,趋势科技研究人员观察到TA505在7月中旬的新攻击活动。该活动针对新增目标国家包括土耳其、塞尔维亚、罗马尼亚、韩国、加拿大、捷克共和国和匈牙利，使用.ISO镜像文件附件作为攻击入口点，以及.NET下载程序、新形式的宏交付，最终投放ServHelper变种和 .DLL FlawedAmmyy下载器变种。针对土耳其和塞尔维亚银行的活动示例中，邮件附件的.ISO镜像为.LNK文件，使用命令行msiexec从URL执行MSI文件，然后pm2文件包含并运行使用NSIS创建的安装程序文件，安装其包含的ServHelper。其它示例中还使用Excel附件包含的恶意宏，从URL下载NSIS创建文件，最终安装ServHelper，与C2通信采用XOR加密。针对韩国企业的攻击中，在以上流程基础上使用.NET下载程序最终安装FlawedAmmyy。而在8月第一周观察到的针对加拿大的攻击中，用户启用文档恶意宏后，将使用IE通信下载文本文件，宏处理文件中使用XOR加密和打包.DLL FlawedAmmyy下载器，写入磁盘，最终安装FlawedAmmyy RAT。
188,韩国 (23),Kimsuky背后组织推出“Smoke Screen”APT活动，针对韩国和美国,2019/7/30,AhnLab,['暂无数据'],Kimsuky,"ESRC研究人员在2019年4月11日发现针对韩国和美国的鱼叉式钓鱼网络攻击，该攻击针对韩国涉及朝鲜问题的人员。研究人员认为该活动是""Operation Stealth Power""恶意活动的延伸，因为相关恶意文档使用了与""Operation Stealth Power""活动中相同的“Tom”帐户进行注册。攻击活动利用hwp恶意文档漏洞加载恶意负载。"
