,报告标题,APT组织,披露时间,披露机构,攻击方法,报告摘要
67,火眼分析报告：伊朗威胁组织的攻击技术详解,MuddyWater (16),2018-03-13,FireEye,后门木马鱼叉式钓鱼攻击漏洞利用,"从2018年1月到3月，通过FireEye公司情报，我们观察到攻击者利用最新的代码执行和持久性技术，将基于宏的恶意文档传播给亚洲和中东的个人。 我们把这一活动归因于""TEMP.Zagros""，是一个伊朗关系行动者，自2017年5月起就一直活跃着。该行动者从事的是在中亚和西南地区的政府和防御实体进行大量的网络钓鱼攻击。网络钓鱼攻击电子邮件和附加的恶意宏文件通常都包含地缘政治主题。一旦被成功执行，恶意文档就会安装一个我们跟踪的POWERSTATS后门。在分析这些文件时，一个更有趣的观察是重用了最新的AppLocker旁路，以及用于间接代码执行的横向移动技术。横向移动技术中的IP地址被本地机器IP地址取代，以实现系统上的代码执行。"
68,MuddyWater针对中东和亚洲的新攻击行动,MuddyWater (16),2018-03-12,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,MuddyWater多以从事间谍活动为目的，受害者主要分布在巴基斯坦、沙特阿拉伯、阿联酋和伊拉克等国家。该组织自2017年11月被曝光以来，不但没有停止攻击，反而更加积极地改进攻击武器。据趋势团队分析，MuddyWater正利用Powershell作为后门程序发起新一轮网络攻击，主要攻击目标集中在政府、金融、能源、电信等行业用户。之前，与 MuddyWater 相关的攻击记录，发生在对沙特阿拉伯政府的攻击，以及与FIN7黑客集团相关的事件中。
69,快速介绍MuddyWater最近的活动,MuddyWater (16),2018-03-01,Security 0wnage(persion),网络钓鱼攻击,自从我上一篇 关于MuddyWater运营的博客文章以来，他们似乎一直在继续他们的活动，并且正如预期的那样开发/改变他们的一些策略和技巧。很明显，他们非常注重分层混淆和PowerShell的偏好。
70,MuddyWater（污水）分析报告：针对中东地区的APT攻击组织,MuddyWater (16),2017-11-14,paloalto,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,本文主要讨论一个针对中东地区的APT攻击组织“MuddyWater”，该组织与2017年2月份和10月份发生在中东地区的一些有针对性的网络攻击有关联。Unit42将其命名为“MuddyWater”（污水），只因为这些有关联的攻击活动比较混乱，而且它们可能都是间谍活动，之前认为“某些活动可能与FIN7黑客组织有关”的推断很可能是错误的。
71,APT30后门新版本揭露，通过马来西亚政府议程主题邮件分发,Naikon (5),2020-06-19,ptsecurity,钓鱼攻击木马后门,国外研究人员最近检测到APT30的后门新样本，其中包括BACKSPACE和NETEAGLE后门。发现的一个恶意样本被写入Microsoft Office模板文件夹，使用了马来西亚政府会议议程主题。第二个样本放在启动文件夹下，文件在系统重新启动后运行，该样本是一个NETEAGLE后门。通过关联，研究人员发现了两个属于BACKSPACE家族的恶意软件，其中之一在2020年5月才从马来西亚上传到VirusTotal。除此之外，研究人员还发现了RHttpCtrl后门和RCtrl后门。RHttpCtrl后门从C2服务器下载文件，收集屏幕截图并上传到C2。RHttpCtrl后门获取磁盘信息、文件夹列表、文件内容、剪贴板，屏幕截图，注册表写入，还可以进行一些常规的文件操作。
72,Thrip：间谍组击中卫星，电信和国防公司,Naikon (5),2018-06-20,Symantec,网络间谍恶意软件,赛门铁克基于人工智能的目标攻击分析揭示了新的广泛的间谍活动。近年来网络间谍活动最重要的发展之一就是采用“ 离地生活 ”的群体数量“战术。这是我们使用操作系统功能或合法网络管理工具来破坏受害者网络的简写。
73,MsnMM活动,Naikon (5),2015-05-21,Kaspersky,鱼叉式钓鱼,在过去的五年中，Naikon APT对整个东南亚和中国南海的敏感目标进行了多次攻击。 与此同时，它还维持对缅甸，越南，新加坡，菲律宾，马来西亚和老挝进行深入攻击。 目标和受害者包括东盟政府机构和政府部门，投资企业，军事，执法和边境控制组织，大使馆，大学学院等。
74,Naikon APT一次追踪亚太地区的一个国家的地缘政治情报,Naikon (5),2015-05-14,Kaspersky,C&C钓鱼邮件,我们在最近的报告“The Chronicles of the Hellsing APT: the Empire Strikes Back”开头对Naikon APT组织进行了介绍，它经常被描述为“亚洲，特别中国南海附近地区最为活跃的APT之一”。Naikon会被提及是因为它在一起独特的事件中起到了重要的作用：Naikon攻击一个Hellsing相关组织，他们彼此间进行了大量的值得研究的对抗活动。
75,APT30和长期网络间谍活动的机制,Naikon (5),2015-04-01,FireEye,C&C后门社工手段,网络间谍组织自2015年起，使用相同的工具、战术、设施，在近十年的时间内对东南亚、印度等国，持续发动获取政府、商业、军方敏感信息的间谍活动。本文就APT30如何对目标划分优先级，及如何针对不同目标调整恶意工具进行着重分析。
76,Charming Kitten组织最新活动，针对伊朗学术研究外籍人士进行网络钓鱼,NewsBeef (4),2019-10-10,Clearsky,鱼叉式网络钓鱼社会工程学,国外研究人员发现Charming Kitten组织对从事伊朗学术研究的外籍专家进行钓鱼攻击，大多数的受害者位于美国、中东和法国。攻击者冒充知名的研究人员或记者，发送钓鱼邮件邀请目标参加其组织的活动，将受害者重定向到其钓鱼网站。研究人员发现模仿Google服务(如Gmail和Google Drive)和模仿Instagram官方网站的钓鱼网站，并且确定该组织使用了6个以上的独特的服务器托管其钓鱼网站，其中，四个仿冒实体作为第一阶段使用，而其他两个主机服务器模拟谷歌服务，推测被用于第二阶段的数据盗窃。
77,Charming Kitten组织攻击美国官员，利用多种鱼叉式钓鱼手法,NewsBeef (4),2019-10-10,Clearsky,鱼叉式网络钓鱼,"最近，伊朗APT组织Charming Kitten被发现试图攻击美国政府官员、政治记者等人物的电子邮件账户。该组织利用社交工程方法，模仿社交网站媒体，向受害者手机发送SMS消息传播鱼叉式钓鱼邮件。攻击者伪装成受害者熟人，发送包含谷歌站点的链接，诱导受害者下载位于熟人谷歌站点的文件，从而收集受害者的谷歌凭据。还通过向受害者发送短信进行钓鱼，该短信使用""Live Recover""的发送者ID，并包含一个关于陌生人的警告，提醒受害者该陌生人试图破坏其电子邮件，受害者必须通过一个附加的链接进行验证。攻击者还假装发现一名朝鲜攻击者试图侵入受害者的雅虎邮箱，发送消息提示受害者，被指控的入侵者IP地址被附加到消息中(该IP确实是朝鲜)，并要求受害者点击邮件中的按钮保护他们的帐户。除以上钓鱼手法，攻击者还通过模仿社交网络的安全团队，获取目标的身份验证因素。"
78,NewsBeef攻击活动分析,NewsBeef (4),2019-07-04,Kaspersky,鱼叉式钓鱼水坑攻击,NewsBeef APT之前参与了利用流行社交网络平台的长期精心设计的社交工程方案。之前对NewsBeef APT的分析表明，该集团专注于沙特阿拉伯（SA）和西方目标，缺乏先进的攻击性技术开发能力。
79,Charming Kitten：伊朗针对人权活动人士、学术研究人员和媒体转载的网络间谍行为—以及HBO黑客关联,NewsBeef (4),2017-12-08,Clearsky,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,Charming Kitten是伊朗网络间谍组织，大约在2014年起开始活动。这份报告公开的是2016到2017年活跃的海量间谍机器。攻击者呈现的是冒充组织和个人群体、鱼叉和水坑攻击。本文将分析其利用、传送以及C2基础设施，并曝光DownPaper，一个由攻击者开发、至今未被存档的恶意软件。 本报告记录的事件仅为目标攻击事件的一小部分，波及数千人。我们公开了超过85个IP地址，240个恶意域名，数百个主机和多个虚假实体——其中大部分创建于2016-2017年。
80,Nitro APT组织没有发现新的入侵威胁指标,Nitro (1),2014-10-03,paloalto,C&C钓鱼攻击,"Palo Alto在今年7月中旬,发现一个合法的网站已经被用于恶意活动。在这个恶意活动中我们称这个组织为Nitro，在大多数情况下,恶意软件使用“Spindest”同时我们还发现“PCClient”和“Farfli”变种使用。Nitro通常使用钓鱼邮件进行恶意攻击活动。"
81,发布Kraken:无文件APT攻击滥用Windows错误报告服务,Ocean Lotus (24),2020-10-06,Malwarebytes LABS,鱼叉式网络钓鱼攻击,9月17日，我们发现了一种名为Kraken的新攻击，该攻击将其有效负载作为防御逃避机制注入了Windows错误报告（WER）服务。 当与操作系统，Windows功能或应用程序相关的错误发生时，通常会调用该报告服务WerFault.exe。当受害者看到他们的计算机上运行WerFault.exe时，他们可能认为发生了一些错误，而在这种情况下，他们实际上已成为攻击的目标。 尽管这项技术不是什么新技术，但这项运动很可能是APT小组的工作，该小组先前曾使用网络钓鱼攻击，诱使受害者提出工人赔偿要求。威胁行动者入侵了一个网站以托管其有效负载，然后使用CactusTorch框架执行无文件攻击，然后采用多种反分析技术。
82,越南国家背景APT组织“海莲花”近期攻击手法的变化,Ocean Lotus (24),2020-08-20,微步在线,诱饵文件,近期，微步情报局捕获到多个“海莲花”组织样本，从5月至7月份期间该组织针对越南地区的攻击手法来看，主要变化体现在投递的诱饵文件上面。涉及三种类型包括：白利用结合压缩包、（SFX）RAR自解压文件和携带宏代码的MIME格式文档。除诱饵类型的变化外，花指令、文件体积、ShellCode存放方式、外壳加载层数也存在变化。
83,【微步在线报告】越南国家背景APT组织“海莲花”近期攻击手法的变化,Ocean Lotus (24),2020-08-20,微步在线,钓鱼攻击木马后门,近期，国内厂商发现海莲花组织的多个恶意样本，主要变化体现在投递的诱饵文件上面。投递方式包括：攻击者将带数字签名的Office组件和恶意DLL打包成压缩包，并且白文件后缀名会携带较长的空格符号用于迷惑受害者；攻击者将带数字签名的iTunes组件、恶意DLL和加密ShellCode文件打包成SFX自解压程序；攻击者将携带宏代码的DOC文档保存成MIME格式投递。通过社会工程学诱导受害者点击执行，使用白利用方法绕过安全检测，最终加载的后门包括：CobaltStrike Beacon、DenesRAT等。
84,海莲花APT组织最新样本分析,Ocean Lotus (24),2020-06-17,Malwarebytes LABS,社会工程学鱼叉攻击木马后门水坑攻击,OceanLotus(海莲花)APT组织是一个长期针对中国及其他东亚、东南亚国家(地区)政府、科研机构、海运企业等领域进行攻击的APT组织，该组织也是针对中国境内的最活跃的APT组织之一，该组织主要通过鱼叉攻击和水坑攻击等方法，配合多种社会工程学手段进行渗透，向境内特定目标人群传播特种木马程序，秘密控制部分政府人员、外包商和行业专家的电脑系统，窃取系统中相关领域的机密资料，通过追踪它这些年的攻击手法和攻击目标，OceanLotus很有可能是具有国外政府支持背景的、高度组织化的、专业化的境外国家级黑客组织 初期的OceanLotus特种木马技术并不复杂，容易发现和查杀，2014年OceanLotus特种木马开始采用包括文件伪装、随机加密和自我销毁等一系列复杂的攻击技术与安全软件进行对抗，随后OceanLotus特种木马又开始转向云控技术，攻击的危险性、不确定性与木马识别查杀的难度都大大增强 OceanLotus(海莲花) APT组织擅长使用鱼叉攻击和水坑攻击，NSA武器库曝光后，还使用了永恒系列漏洞进行攻击，投递的攻击武器种类比较多，RTA包括：Denis、CobaltStrike、PHOREAL、salgorea、类gh0st、Ratsnif等。
85,APT32利用疫情信息针对武汉政府和中国应急管理部门的攻击活动,Ocean Lotus (24),2020-04-22,FireEye,鱼叉式网络钓鱼电子邮件,Fireeye Mandiant 威胁情报团队称，自2020年1月至今，疑似海莲花（APT32）组织对中国政府相关机构进行了入侵活动，攻击者将鱼叉式网络钓鱼邮件发送给了中国紧急情况管理部以及武汉市政府，Mandiant 认为此攻击活动是为了收集COVID-19相关的情报信息。 第一起已知的攻击活动发生在2020年1月6日，攻击者将主题为“办公设备招标第一季度结果报告”的电子邮件发送给中国紧急情况管理部门，并在邮件中插入探针，一旦受害者打开邮件，该探针将向远程发送受害者的电子邮件地址。 Mandiant 还发现海莲花以COVID-19为诱饵针对中国，该诱饵文档名为“COVID-19实时更新：中国目前正在追踪所有来自湖北省的旅行者”，该诱饵文档打开后将在受害者计算机中执行shellcode以收集计算机名，用户名。最终将加载METALJACK有效载荷从而控制受害者计算机。
86,近期使用新冠疫情（COVID-19）为诱饵的APT攻击活动汇总,Ocean Lotus (24),2020-03-28,腾讯,"恶意脚本木马后门,勒索软件钓鱼邮件",目前，由新型冠状病毒引起的肺炎疫情（COVID-19）在全球蔓延，已有190个国家存在确诊病例，全球确诊人数已经超过43万人，死亡病例超过1.9万。中国大陆已基本控制住疫情，但在意大利、西班牙、美国等发达国家疫情仍处于爆发期，世界卫生组织已将疫情的全球风险级别确定为“非常高”。 而随着新冠病毒疫情（COVID-19）在全球蔓延，以此为主题的网络攻击事件骤然增长。其中中国大陆、意大利、韩国等国家成为黑客网络攻击的高风险地区。腾讯安全威胁情报中心自疫情爆发后，已检测到多起以新冠病毒疫情为主题的攻击活动。 攻击者大多以投递邮件的方式，构造诱饵文件欺骗用户点击，恶意文件类型多种多样，覆盖EXE、MS Office宏文档、漏洞文档、lnk文件、VBS脚本等。而攻击的背景也包括具有国家背景的专业APT组织和普通黑产组织。本文对近期发现的以新冠病毒疫情为诱饵的攻击活动加以汇总，供大家参考。在此提醒广大政企单位和个人用户，在做好疫情防控的同时，也要做好网络安全的防护工作。
87,COVID-19 新冠病毒笼罩下的全球疫情相关网络攻击分析报告,Ocean Lotus (24),2020-03-26,奇安信,"远控木马木马后门,勒索软件",自今年年初新冠病毒在国内全面爆发，奇安信威胁情报中心便立刻意识到在这样的非常时期，网络攻击者绝不会自我“隔离”。保障关键业务系统的安全稳定运行及信息安全、重要网站的正常运转和内容不被篡改、防范和阻断利用疫情相关热点的APT、黑产等网络攻击，是另一个当务之急。 在春节期间，奇安信红雨滴团队和奇安信CERT便建立了围绕疫情相关网络攻击活动的监控流程，以希冀在第一时间阻断相关攻击，并发布相关攻击预警。 截至目前，奇安信红雨滴团队捕获了数十个APT团伙利用疫情相关信息针对境内外进行网络攻击活动的案例，捕获了数百起黑产组织传播勒索病毒、远控木马等多类型恶意代码的攻击活动。并通过基于奇安信威胁情报中心威胁情报数据的全线产品阻断了数千次攻击。相关详细信息均及时上报国家和地方相关主管部门，为加强政企客户和公众防范意识，也将其中部分信息摘要发布。 在本报告中，我们将结合公开威胁情报来源和奇安信内部数据，针对疫情期间利用相关信息进行的网络攻击活动进行分析，主要针对疫情相关网络攻击态势、APT高级威胁活动、网络犯罪攻击活动，以及相关的攻击手法进行详细分析和总结。
88,越南国家背景APT组织“海莲花”利用疫情话题攻击我国政府机构,Ocean Lotus (24),2020-03-16,微步在线,木马,近期，微步情报局捕获“海莲花”利用疫情话题针对我国发起攻击活动的样本文件。 攻击者以“湖南省家禽H5N1亚型高致病性禽流感疫情情况”、“冠状病毒实时更新：中国正在追踪来自湖北的旅行者”等时事热点为诱饵进行鱼叉攻击，攻击活动或发生于今年2月。利用带数字签名的WPS文件，通过社会工程学诱导受害者点击执行，运行以后会通过侧加载方式装载恶意DLL，释放诱饵文档并且在内存中加载DenesRAT木马。DenesRAT木马具备文件操作、注册表读写、设置环境变量和远程执行代码等功能的后门，该后门被插入大量花指令用于对抗分析。
89,黑客组织海莲花攻击宝马汽车集团，窃取商业机密,Ocean Lotus (24),2019-12-06,360,暂无数据,"根据国外新闻报道，黑客组织海莲花攻击了慕尼黑宝马汽车公司（始于2019年春季）的计算机网络和韩国现代汽车网络。6月份时，宝马公司将有关计算机进行了脱网处理。黑客通过创建一个仿冒泰国宝马分公司网站来进行钓鱼，从而窃取目标信息。分析发现黑客组织应是从BR Recherche攻击了计算机攻击者，然后安装Cobalt Strike来进行攻击。自2018年底以来，汽车工业也逐步成海莲花组织的关注焦点。不止于宝马，丰田汽车公司也曾惨遭""海莲花""毒手。通过进一步发现，2019年6月越南企业集团Vingroup开设了第一家生产汽车的工厂。而有资料显示，在越南开始制造汽车时，该组织就开始将攻击目标聚焦于汽车制造商。"
90,“海莲花”(OceanLotus)2019年针对中国攻击活动汇总,Ocean Lotus (24),2019-12-05,腾讯,暂无数据,整个2019年，该组织持续对多个目标不断的进行攻击，使用的鱼叉攻击邮件主题非常本土化，如使用网易邮箱，贴近时事热点等。新增诱饵类型：伪装为word图标的可执行文件、chm文件等。不断更新对抗方式：使用多重载荷攻击、定制化第二阶段后门，C2拼接，自增文件大小等。利用的定制化恶意软件为：CobaltStrike的beacon木马、Denis家族木马、修改版的Gh0st。
91,疑似海莲花又有新活动，攻击目标似为国内大型企业,Ocean Lotus (24),2019-11-13,安恒,暂无数据,近期安全研究院猎影威胁分析团队在文件威胁分析平台上监控发现疑似海莲花组织又有新的活动出现，其攻击目标似为国内大型企业。
92,来自OceanLotus的新网络害虫,Ocean Lotus (24),2019-07-01,THREATVECTOR,C&C,OceanLotus Group（又名APT32，CobaltKitty）正在使用一套名为“Ratsnif”的远程访问木马来利用新的网络攻击功能。Blackberry Cylance威胁研究人员分析了Ratsnif特洛伊木马，它提供了一种名副其实的瑞士军刀网络攻击技术。自2016年以来积极开发的特洛伊木马程序结合了数据包嗅探，网关/设备ARP中毒，DNS中毒，HTTP注入和MAC欺骗等功能。
93,OceanLotus利用新方法针对越南环境集团,Ocean Lotus (24),2019-06-20,奇安信,C&C,据称，APT集团OceanLotus拥有越南背景，于2015年5月首次曝光并由SkyEye Labs（QiAnXin威胁情报中心RedDrip团队的前身）命名。其攻击活动可以追溯到2012年4月。目标包括中国海事机构，海事建设，科研院所和航运企业。他们的目标后来扩展到几乎所有重要组织，相关活动现在仍然活跃。
94,海莲花团伙对中南半岛国家攻击活动的总结：目标、手法及技术演进,Ocean Lotus (24),2019-05-08,奇安信,网络钓鱼,OceanLotus是一家拥有越南背景的APT集团。该团队于2015年5月首次由SkyEye团队发布并命名。其攻击活动可以追溯到2012年4月。目标包括中国的海事机构，海事建筑，科研机构和航运企业。
95,OceanLotus隐写术,Ocean Lotus (24),2019-04-02,BlackBerry Cylance,木马后门,BlackBerry Cylance最近在我们对OceanLotus（APT32）小组的持续监控期间发现了一种新颖的恶意软件有效载荷装载器。加载程序使用隐写术来读取隐藏在.png图像文件中的加密有效负载。
96,跟踪OceanLotus的新下载程序KerrDown,Ocean Lotus (24),2019-02-01,paloalto,钓鱼攻击,OceanLotus (也叫做APT32)，其主要攻击目标是东南亚。过去几年发生的多起攻击活动都与APT 32有关，虽然APT 32的攻击活动是全球性的，但其主要活动在APAC区域，主要攻击目标包括多个行业、外国政府、与越南相关的活动家和持不同政见者。本文介绍OceanLotus从2018年初开始使用的定制的下载器恶意软件KerrDown。研究人员在分析过程中还使用了Jaccard index（Jaccard相似系数）算法来找出KerrDown恶意软件家族与数据库中其他恶意软件家族的相似性。研究人员一共发现两种传播 KerrDown下载器的方法。第一个是使用含有恶意宏的office文档，第二个方法是使用含有DLL侧加载的合法程序的RAR文件。
97,OceanLotus组织使用的恶意程序分析报告,Ocean Lotus (24),2018-10-17,BlackBerry,漏洞利用鱼叉攻击木马后门水坑攻击,威胁研究人员发现了几个由Oceanlotus Group（APT32，Cobalt Kitty）部署的定制后门，以及使用CobaltStrike Beacon后门攻击的证据。攻击者通常在环境中利用PowerShell，使用程序下载/部署恶意软件，以及来自各种漏洞工具包（包括MSFvenom、Veil和Dkmc）的PE/Shellcode加载，大部分恶意软件都是在内存中运行，不需要磁盘占用。
98,,Ocean Lotus (24),2018-04-27,腾讯,后门木马鱼叉式钓鱼攻击漏洞利用,海莲花（OceanLotus）也叫APT32或APT-C-00，是一个长期针对中国及其他东亚国家（地区）政府、科研机构、海运企业等领域进行攻击的APT组织。
99,OceanLotus组织新的Macos后门分析,Ocean Lotus (24),2018-04-04,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,我们确定了一个MacOS后门（趋势科技检测为OSX_OCEANLOTUS.D），我们认为它是OceanLotus（又名APT 32，APT-C-00，SeaLotus和Cobalt Kitty）使用的威胁的最新版本.OceanLotus负责 针对人权组织，媒体组织，研究机构和海事建筑公司发起有针对性的攻击.OSX_OCEANLOTUS.D背后的攻击者瞄准安装了Perl编程语言的MacOS计算机。
100,OceanLotus APT （海莲花）在近期攻击中使用了新后门,Ocean Lotus (24),2018-03-14,ESET,后门木马鱼叉式钓鱼攻击漏洞利用,ESET 发布分析报告称 OceanLotus APT 组织在其最近的攻击活动中使用了新的后门，旨在获得远程访问以及对受感染系统的完全控制权。目前 OceanLotus 会在其攻击活动中不断更新工具集，这显示了该组织通过选择目标保持隐藏的意图。此外，OceanLotus 也限制其恶意软件的分发以及使用多个不同的服务器来避免将注意力吸引到单个域名或 IP 地址。
101,海莲花（OceanLotus）大规模数字监视和攻击，主张东盟，亚洲国家，媒体，人权组织和民间社会,Ocean Lotus (24),2017-11-06,Volexity,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,2017年11月6日，国外安全公司Volexity发布了一篇关于疑似海莲花APT团伙新活动的报告，该报告指出攻击团伙攻击了与政府、军事、人权、媒体和国家石油勘探等有关的个人和组织的100多个网站。通过针对性的JavaScript脚本进行信息收集，修改网页视图，配合社会工程学诱导受害人点击安装恶意软件或者登陆钓鱼页面，以进行下一步的攻击渗透。
102,海莲花组织针对亚洲某公司的APT攻击—Cobalt Kitty 行动分析,Ocean Lotus (24),2017-05-24,cybereason,社会工程学钓鱼邮件,本文是针对一次被称为 Operation Cobalt Kitty的APT攻击的报告内容精华版，该APT攻击的目标是针对亚洲一家全球性公司来窃取他们的重要商业信息。攻击者以钓鱼攻击作为初始渗透载体，以公司的顶级管理为目标，最终入侵了副总裁电脑，当然还有很多高级主管和运营部门的其他关键人员。在Operation Cobalt Kitty攻击过程中，攻击者破坏了超过40台PC和服务器，包括域控制器，文件服务器，Web应用服务器和数据库服务器。
103,网络间谍活动依然活跃:APT32和对全球企业的威胁,Ocean Lotus (24),2017-05-14,FireEye,社会工程学钓鱼邮件,APT32组织（海莲花组织，OceanLotus Group）正在对横跨多个行业的企业展开入侵活动，同时他们也将外国政府、政客人士以及记者当作攻击目标。FireEye经过分析研究，认为APT32在攻击活动中使用了一个独特的全功能版的恶意软件工具集以及公开的商业工具，所涉及的网络攻击活动都与越南的国家利益相符合。
104,OceanLotus（APT-C-00）数字海洋的游猎者持续3年的网络空间威胁,Ocean Lotus (24),2015-05-29,SkyEye,鱼叉攻击水坑攻击,2012年4月起至今，某境外黑客组织对中国政府、科研院所、海事机构、海域建设 、航运企业等相关重要领域展开了有组织、有计划、有针对性的长时间不间断攻击。该组织主要通过鱼叉攻击和水坑攻击等方法，配合多种社会工程学手段进行渗透，向境内特定目标人群传播特种木马程序，秘密控制部分政府人员、外包商和行业专家的电脑系统，窃取系统中相关领域的机密。 根据该组织的某些攻击特点，我们将其命名为OceanLotus。
105,Oilrig组织中东地区最新攻击活动的关联分析,OilRig (15),2020-09-02,360,木马后门,近日360发现伊朗APT组织的最新攻击活动样本。其中一类样本是Cobalt Strike生成的loader加载器与Beacon后门。加载器通过管道传输数据读写，内部隐藏着加密后的beacon.dll内存反射后门，通过异或解密后，直接在内存中创建线程执行。Beacon内部存储了C&amp;C、端口、通信方式等配置信息。该组织在2020年对中东电信组织的攻击活动中使用的RDAT是以加密后的硬编码地址作为C&amp;C。与历史攻击活动中的样本不同，此次攻击RDAT仅使用DNS通信，数据传输方式为，其中的数据使用AES加密生成。通过关联发现，发现样本的C2地址大部分出现在伊朗APT组织OilRig和GreenBug过去的攻击活动中。
106,Karkoff 2020：一项新的APT34间谍活动涉及黎巴嫩政府,OilRig (15),2020-03-02,YOROI,恶意软件,Cybaze/ Yoroi Zlab的专家发现了APT34组织的一个新样本，分析发现该活动使用新版本Karkoff植入工具针对黎巴嫩政府。新版本Karkoff与旧版本具有相似的宏结构和类似逻辑的.NET模块化植入工具，且都利用Microsoft Exchange Server作为通信渠道，专家表示APT34可能入侵了属于黎巴嫩政府实体的Microsoft Exchange Server。此外，新版本Karkoff实现了新的侦察逻辑，以便仅将最终的有效载荷分配到特定目标，收集系统信息、域名、主机名和正在运行的操作系统。
107,Marco Ramilli发布针对伊朗APT组织的分析报告,OilRig (15),2020-01-15,marcoramilli,暂无数据,Marco Ramilli研究人员发布了针对伊朗APT组织的初步分析报告，其基于MITER ATT＆CK和Malpedia介绍了组织之间的相互关系。OilRig组织主要在中东开展活动，目标是该地区各行各业的组织，偶尔也会将目标锁定在中东以外的组织。OilRig也会进行供应链攻击。OilRig使用Mimikatz和laZagne等开源工具，Microsoft发行版或sysinternals上可用的常见sysadmin工具集。MuddyWater组织主要针对中东国家，同时也针对欧洲和北美国家。该组织的受害者主要是电信，政府（IT服务）和石油部门。目前只有Powerstats后门才被归因于该组织。APT33组织至少从2013年开始运营，目标是美国、沙特阿拉伯和韩国的多个行业的组织，其TTP非常接近MuddyWater。CopyKittens是至少从2013年就开始运作，目标国家包括以色列、沙特阿拉伯、土耳其、美国、约旦和德国，其使用CobaltStrike工具，在Windows和IOS上使用了代码签名。Cleaver组织，负责Cleaver行动，强有力的间接证据表明Cleaver与组织2889 (TG-2889)有关。
108,伊朗向美国发起的网络攻击历史活动汇总,OilRig (15),2020-01-09,paloalto,暂无数据,paloalt对来自伊朗的高级威胁做个详细的描述，报告APT组织，APT组织的攻击活动，TTP 战法对应的ATTCK 、详细的IOC 信息等
109,APT34利用PowDesk攻击LANDesk用户,OilRig (15),2020-01-09,Clearsky,暂无数据,Clearsky研究人员发现一种简单的新PowerShell恶意软件PowDesk针对LANDesk用户，研究人员将该恶意软件PowDesk归属于伊朗APT组织APT34（又称为OilRig、HelixKitten）。研究人员怀疑APT34针对安装了由美国IT公司Ivanti生产的LANDesk管理代理的组织。PowDesk兼容32位和64位系统，并通过存储在C&amp;C服务器上的PHP页面窃取受感染计算机的名称，与之前APT34使用的QUADAGENT恶意软件存在相似之处。在分析恶意软件的行为之后，研究人员评估攻击者已经创建了一个目标公司的IP地址的白名单。
110,APT34定制后门样本Poison Frog，伪装成Cisco AnyConnect,OilRig (15),2019-12-17,Kaspersky,暂无数据,研究人员发现了APT34的定制后门样本Poison Frog，样本包含了DNS和HTTP后门两部分（base64编码），通过系统计划任务实现持久驻留。其中的Poison Frog HTTP后门是一段只有59行的PowerShell脚本，功能简单：向C2发送受害机器的UID，根据C2返回值确定如何操纵某个特定文件。DNS后门部分则是通过335行代码，实现在系统上执行命令以及将文件保存到系统。恶意软件伪装成合法的Cisco AnyConnect应用程序，但在现实实现中有一些错误。例如，每次点击程序时会弹出窗口（合法程序不会）。研究者还发现攻击者一些草率的错误，如，输入错误，编译日期晚于被发现日期。
111,伊朗黑客攻击组织利用ZeroCleare，攻击中东能源和工业部门,OilRig (15),2019-12-05,threatpost,暂无数据,研究人员称，ZeroCleare很可能是总部位于伊朗的APT34(又称OilRig或ITG13)的杰作。根据IBM的X-Force事件响应和情报服务（IRIS），ZeroCleare参与了最近发现的对石油和天然气公司的APT攻击，其中包括 Windows计算机通过易受攻击的驱动程序。尽管IRIS的一位发言人表明，受影响组织的确切数目尚不清楚，但至少有1400台主机受到ZeroCleare的影响。
112,xHunt活动使用新CASHY200后门，利用DNS隧道与C2通信,OilRig (15),2019-10-12,paloalto,木马后门,xHunt活动是针对科威特组织的网络攻击活动，最近，研究人员发现了该活动使用新的基于PowerShell的后门CASHY200，后门与windows64x[.]com进行通信，该域名与先前的xHunt活动关联。2018年5月1日和6月3日，研究人员首次发现安装和执行CASHY200 早期PowerShell脚本的可执行文件，被用来对付科威特政府，该文件与firewallsupports[.]com通信。后门依赖于DNS A查询，将数据从木马发送到查询域子域内的C2服务器，并从C2服务器接收IPv4应答数据。攻击者使用特定的DNS查询结构来发送请求，如下：&lt;5个随机字符&gt; .windows64x [.] com。请求类型代表查询目的，主机名是专门为感染系统创建的硬编码到木马中的唯一字符串。
113,xHunt活动针对科威特船运组织，使用电子邮件草稿进行通信,OilRig (15),2019-09-23,paloalto,漏洞攻击木马后门,2019年5月至6月，国外安全公司观察到针对科威特船运组织的未知工具。攻击者使用了名为Sakabota，Histoka，Netero和Killua的后门工具。这些工具使用HTTP、DNS隧道、和电子邮件与C2进行通信，其中通过电子邮件通信利用了Exchange Web服务，攻击者和恶意后门将使用同一合法账户，创建电子邮件草稿交换数据。除此之外，攻击者还使用了称为Gon和EYE的工具，当攻击者通过RDP登录到系统时，会使用EYE工具作为保护，如果合法用户登录，EYE将杀死攻击者创建的所有进行和删除其他标识。研究人员发现Sakabota和Histoka活动与OilRig组织的基础设施存在重叠。
