,报告标题,APT组织,披露时间,披露机构,攻击方法,报告摘要
42,Waterbug：间谍集团在针对政府的攻击中推出全新的工具集,Turla (16),2019-06-21,Symantec,木马后门,Waterbug间谍组织（又名Turla）在过去的18个月中继续攻击政府和国际组织的一系列活动，其中包括快速发展的工具集，并且在一个值得注意的例子中，明显劫持了另一个间谍组织的基础设施。
43,深入了解Turla PowerShell的用法,Turla (16),2019-05-29,ESET,C&C,Turla，也被称为Snake，是一个臭名昭着的间谍组织，因其复杂的恶意软件而闻名。为了混淆检测，其运营商最近开始使用PowerShell脚本，提供直接的内存加载和恶意软件可执行文件和库的执行。这允许他们绕过在磁盘上丢弃恶意可执行文件时可能触发的检测。
44,TURLA LIGHTNEURON,Turla (16),2019-05-07,ESET,恶意软件,Turla，也被称为蛇，是最古老的，还是活跃的网络间谍集团之一，拥有超过十年的经验更多。它的运营商主要集中在高知名度的目标，例如在欧洲，中亚和中东国家政府和外交机构。他们被称为有违反主要机构，如国防部在2008年美国国防部和瑞士国防RUAG公司在2014年最近，一些欧洲国家，包括法国和捷克共和国上市谴责对他们的政府Turla的攻击。
45,TURLA OUTLOOK 后门 ——一篇关于特殊Turla后门的分析报告,Turla (16),2018-08-23,ESET,漏洞攻击鱼叉攻击木马后门,Turla是一个间谍组织，一直忙于攻击世界各地的外交官和军事目标。其中，最引人注目的受害者是2013年的芬兰外交部，2014年至2016年间的瑞士军工公司RUAG 以及最近在2017年底或2018年初的德国政府。攻击者使用的一些手段：他们使用电子邮件附件来控制恶意软件，并从系统中转移被盗数据。在此，我们发布我们对这个通过电子邮件发送的PDF附件控制的Turla后门深入分析。
46,Turla Mosquito：转向更通用的工具,Turla (16),2018-05-22,ESET,伪造程序木马后门,它现在利用开源开发框架Metasploit，然后放弃了定制的Mosquito后门。
47,Turla使用的Neuron恶意软件升级,Turla (16),2018-01-18,NCSC,恶意软件,NCSC观察到Turla集团使用Neuron和Nautilus恶意工具设计在Microsoft Windows平台上运行，主要针对邮件服务器和Web服务器。这些工具用于维护持久的网络访问，并进行危害网络的操作，以便收集情报。
48,东欧的外交官被Turla蚊子咬伤,Turla (16),2018-01-09,ESET,社会工程,ESET的研究人员发现，臭名昭着的国家支持的网络间谍组织Turla已经为其军火库添加了一种新武器，这种武器正被用于针对后苏联国家的大使馆和领事馆的新运动中。这个新工具试图欺骗受害者安装恶意软件，最终旨在从Turla的目标中汲取敏感信息。
49,俄罗斯Turla组织的新型恶意软件 Gazer分析,Turla (16),2017-08-30,ESET,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,ESET 研究人员近期发现了一项针对全球各领事馆部委与大使馆的新型后门恶意软件 Gazer 监控，疑似与俄罗斯 APT 组织 Turla 有关。
50,WhiteBear组织的攻击手法分析,Turla (16),2017-08-30,Kaspersky,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,白象是一个来自于南亚地区的境外APT组织，组织主要针对中国、巴基斯坦等亚洲地区和国家的政府机构、科研教育领域进行攻击。部分基础设施和代码和蔓灵花、孔子重合，这几个组织间疑似有千丝万缕的关系。该组织在2018年同样多次对中国的多个目标进行了攻击活动。该组织同样使用鱼叉攻击，诱饵文档带有强烈的政治意味。
51,Turla APT组织调整KopiLuwak后门，用于G20相关的攻击,Turla (16),2017-08-17,Proofpoint,后门木马鱼叉式钓鱼攻击漏洞利用供应链攻击水坑攻击,Proofpoint的研究人员最近在公开的恶意软件存放处中发现了这个植入程序，黑客透过鱼叉式钓鱼攻击置入武装过的附件，标题为『Save The Date』邀请10月的G20工作会议。 这个邀请其实是一个可执行文件程序信息档案（PIF），看起来像是一个PDF档，它包含一组用于传送KopiLuwak的指令。当受害者双击PDF图示后，PIF在背后传送后门时正常的打开PDF诱饵文件。一旦安装在系统上，KopiLuwak会让攻击者完全的控制它。
52,Waterbug攻击小组,Turla (16),2015-01-22,Symantec,鱼叉式钓鱼水坑攻击,Waterbug是一个网络间谍组织，他们利用先进的恶意软件系统地对一系列国家政府实体发起攻击。 该组织采用高度针对性的鱼叉式钓鱼与水坑攻击攻破目标受害者。 目前有人注意到该组织还利用0-day漏洞和被盗证书为其恶意软件进行登记注册。 一旦该组织拿下突破点，它们便将攻击重点转移到长期持续性监控工具上，该工具拥有强大的间谍功能并可窃取受害者数据信息。 赛门铁克跟踪了一个这样的工具（Trojan.Turla）并确定了当前网络环境中还活跃着四个不同的变种被黑客所使用。
53,眼镜蛇项目分析,Turla (16),2015-01-20,G-DATA,间谍软件,卡巴斯基在“The Epic Turla Operation”一文中提到了“眼镜蛇项目”（Project Cobra）和“碳系统”（Carbon System）。 他们在Uroburos（也称Snake/Turla）和Agent.BT事件中均被利用。 我们认为Carbon System是在Agent.BTZ之后，Uroburos之前所开发完成的。 Carbon System与Uroburos和Agent.BTZ拥有相同的技术细节（加密密钥，加密算法，设计，...）和一些其他关联，例如他们的名称均与蛇相关：Project Cobra（眼镜蛇）。Uroburos可以被认为是一个内核中的“snake”和眼镜蛇碳系统作为一个用户态中心的“snake”。
54,从Agent.BTZ到ComRAT的复杂间谍软件的演变,Turla (16),2015-01-15,G-DATA,木马主控,2014年11月，G DATA Security实验室的专家发表了关于Agent.BTZ继承者ComRat的文章。文中提到该恶意软件涉及到Uroburos rootkit事件。这个事件的背后实施者使用了多种不同的恶意工具侵入目标设施，如Uroburos，Agent.BTZ/ComRAT，远程管理工具或Linux恶意工具等，甚至更多。
55,APT组织Platinum仍然活跃，更新两种后门工具,TwoForOne (3),2019-11-11,Kaspersky,暂无数据,卡巴斯基实验室人员发布分析报告称2018年7月针对东南亚国家，外交、政府和军事实体的攻击活动EasternRoppels可能与APT组织Platinum有关。其攻击工具的特点是多阶段执行，利用新的隐写术来隐藏通信过程。这次更新的TTPs是Steganography后门和在它基础上改进的P2P后门。
56,Platinum组织最新攻击活动，使用新无文件后门Titanium,TwoForOne (3),2019-11-11,Kaspersky,暂无数据,由微软追踪到的高级持续威胁组织Platinum正在使用一种名为Titanium的新型木马后门恶意软件来渗透并控制目标系统。Titanium的与众不同之处在于它使用了各种隐藏方法，将其伪装成安全解决方案、声音驱动程序或DVD视频创作工具。至少从2009年起，Platinum(也被卡巴斯基跟踪为TwoForOne)就一直活跃在亚太地区，目标是政府机构、国防机构、情报机构、外交机构、政府机构。该活动的主要目标位于南亚和东南亚。根据卡巴斯基的研究团队所言，Platinum使用本地内部网站传递恶意负载，或者通过未知的方法将shell代码注入到系统进程中。Shellcode通过从命令和控制服务器下载加密的有效载荷，对其解密并在感染链中启动下一个有效载荷，从而在目标机器上获得最初的立足点。恶意负载使用Windows后台智能传输服务(BITS)服务下载所需的文件，并利用合法的cURL工具与C2服务器通信。Titanium有效负载将被加载到内存中并启动，该负载通过Windows API调用和循环进行混淆，以绕过检测，接收到的C2命令隐藏在PNG文件中。由于使用了加密和无文件技术，无法将文件系统中的任何文件检测为恶意文件。
57,PLATINUM：针对南亚与东南亚进行攻击的黑客组织,TwoForOne (3),2016-04-26,MicroSoft,暂无数据,微软近来开始主动监控最新出现的威胁趋势，这项工作涉及到要不断为当前活跃的攻击组织团体添加标签信息，标签的内容通常是一个最新引入的攻击或渗透技术，该技术后来被其他攻击者所广泛应用。在微软之前发布的报告《STRONTIUM: A profile of a persistent and motivated adversary》中记录了这样一个攻击组织，因其侵略性、持续性、技术策略以及重复使用最新的零日漏洞去攻击目标等特点而引起了分析人员的关注。本文介绍了新发现的当前活跃的攻击组织的历史记录，行为和策略信息，微软已将其定义为“白金”（PLATINUM）。 据悉，PLATINUM至少于2009年就一直在对其目标进行攻击，与那些常见的非目标性攻击行为不同，它的攻击活动有许多明确的目标。像许多机会主义攻击组织一样，PLATINUM试图窃取与政府利益相关的敏感知识产权数据，但其优先目标范围始终限于南亚和东南亚的特定政府组织、国防研究所、情报机构、外交机构和电信运营商。由于该组织持续利用鱼叉式钓鱼攻击，并获取尚未发现的零日漏洞信息，使其成为了一个较危险的威胁攻击组织。
58,近期双尾蝎APT组织利用伪造社交软件等针对多平台的攻击活动分析,Two-tailed Scorpion (3),2020-10-19,奇安信,后门恶意软件,双尾蝎（APT-C-23）是一个长期针对中东地区的高级威胁组织，其最早于2017年被披露，至少自2016年5月起，持续针对巴勒斯坦教育机构、军事机构等重要领域开展了有组织，有计划，有针对性的攻击，该组织拥有针对Windows和Android双平台攻击能力。 近日，奇安信威胁情报中心红雨滴团队在日常的威胁狩猎中捕获了该组织多起攻击样本，此次捕获的样本涉及Windows和Android平台，Windows平台样本主要通过伪装成简历文档等诱饵的可执行文件进行初始攻击，此类样本运行后，将会释放展示正常的诱饵以迷惑受害者，同时后门将继续在后台运行以窃取受害者计算机敏感信息。
59,APT-C-23开发了它的Android间谍软件,Two-tailed Scorpion (3),2020-09-30,ESET,恶意软件,我们发现了APT-C-23使用的一个以前未被报道的安卓间谍软件版本，这个威胁组织也被称为双尾蝎，主要针对中东地区。ESET产品检测到的恶意软件为Android/SpyC23.A。据悉，APT-C-23集团在其运营中同时使用了Windows和Android组件，Android组件在2017年首次被描述。同年，对APT-C-23的移动恶意软件进行了多项分析已发布。比较与2017年发布的版本相比，Android/SpyC23.A已经扩展了间谍功能，包括从消息应用程序读取通知、通话记录和屏幕录制，以及新的隐藏功能，例如从内置的Android中取消通知安全应用程序。间谍软件的传播方式之一是通过一个假冒的Android应用商店，以知名应用为诱饵。
60,双尾蝎（APT-C-23）团伙利用带有政治主题的Android恶意软件针对巴勒斯坦的攻击分析,Two-tailed Scorpion (3),2019-05-08,奇安信,暂无数据,双尾蝎（APT-C-23）组织的目标主要集中在中东地区，尤其活跃在巴勒斯坦的领土上。从2016年5月起至今，双尾蝎组织（APT-C-23）对巴勒斯坦教育机构、军事机构等重要领域展开了有组织、有计划、有针对性的长时间不间断攻击。攻击平台主要包括 Windows 与 Android。这次的最近攻击样本通过仿冒Acrobat更新，通过显示含有政治主题的诱饵PDF文件，诱骗用户安装使用；恶意软件主要目的为窃取用户手机信息，并对用户手机进行远程控制，新程序继承了APT-C-23下发控制指令的模式，实现了两种向应用推送消息的方式，FCM和SMS通信。程序运行以后会隐藏自身图标，从而保护自身不被卸载。
61,趋势科技发现与Bahamut、Confucius和Patchwork有关的APT组织Urpage,Urpage (1),2018-08-29,TrendMicro,漏洞攻击鱼叉攻击木马后门,趋势科技通过分析新的攻击组织Urpage与APT组织Confucius、Patchwork以及Bahamut的相似之处，深入探讨了网络攻击之间可能存在的联系。Urpage主要针对乌尔都语和阿拉伯语的文字处理器InPage，其使用了与Confucius和Patchwork相同的Delphi后门组件，并使用了与Bahamut类似的恶意软件。许多相似之处和联系表明，这可能是一个单一的收费团队将其工具和服务出售给具有不同目的和目标的其它组织。
62,Turla使用HyperStack、Carbon和Kazuar来危害政府实体,Waterbug (16),2020-10-27,Accenture,恶意软件木马后门,埃森哲咨询公司发现Turla组织继续使用自定义的恶意软件（包括旧版工具）瞄准政府组织。研究人员确认了针对欧洲政府组织的活动。 在活动中，攻击者使用了基于RPC的后门（例如HyperStack）和远程管理木马（例如Kazuar和Carbon）的组合。最近9月发现的一个HyperStack后门更新了功能，该功能似乎受到之前安全产商披露的RPC后门以及Carbon后门启发。 HyperStack使用命名管道来执行从控制器到托管HyperStack客户端的设备的远程过程调用（RPC）。为了进行横向移动，恶意植入程序会尝试使用空会话或默认凭据连接到另一个远程设备的IPC$共享。还发现HyperStack的另一个版本允许攻击者通过命名管道运行从控制器到恶意植入程序的命令，而无需任何IPC$枚举活动。
63,黑客组织Turla引入NewPass 新型工具,Waterbug (16),2020-07-14,Telsy,木马后门,"Telsy研究人员发现了一些与2020年6月发生的一次恶意攻击有关的软件，该攻击很可能与Turla\Uroburos相关，使用了被命名为 ""NewPass""的新型工具，用于向C2发送渗出数据的相关命令。NewPass由不同的组件组成，这些组件依靠一个编码文件在彼此之间传递信息和配置。至少包含三个组件，下载器，部署的二进制文件和加载器库，能够解码二进制文件，负责执行特定的操作，如与攻击者的命令和控制服务器通信。装载器和C2服务器共享内存中常驻的JSON配置文件，这些配置展示了恶意软件的扩展功能，以及攻击者可以通过简单地改变配置项的值来定制植入物的能力。"
64,攻击者利用WAV音频文件，隐藏XMRig和Metasploit代码,Waterbug (16),2019-10-21,Cylance,钓鱼攻击木马后门,研究人员最近发现，WAV音频文件中被嵌入经过模糊混淆的恶意代码，其中一些与XMRig Monero币矿工程序相关。每个WAV音频文件都有一个加载程序，用于解码和执行其中嵌入的恶意代码，并且不会在播放过程中产生异常。WAV文件加载器包括采用最低有效位隐写术加载程序解码并执行PE文件、采用基于rand()的解码算法来解码和执行PE文件、采用基于rand()的解码算法来解码和执行shellcode类型。每种方法都允许攻击者以合法文件格式执行代码，其中对解码shellcode的分析显示，该代码与Metasploit 反向TCP和反向HTTPS代码极为相似，并且shellcode都会尝试通过端口3527或443连接到C2服务器。该隐藏策略在Turla组织使用的恶意样本中也被发现。
65,Waterbug：间谍集团在针对政府的攻击中推出全新的工具集,Waterbug (16),2019-06-21,Symantec,木马后门,Waterbug间谍组织（又名Turla）在过去的18个月中继续攻击政府和国际组织的一系列活动，其中包括快速发展的工具集，并且在一个值得注意的例子中，明显劫持了另一个间谍组织的基础设施。
66,深入了解Turla PowerShell的用法,Waterbug (16),2019-05-29,ESET,C&C,Turla，也被称为Snake，是一个臭名昭着的间谍组织，因其复杂的恶意软件而闻名。为了混淆检测，其运营商最近开始使用PowerShell脚本，提供直接的内存加载和恶意软件可执行文件和库的执行。这允许他们绕过在磁盘上丢弃恶意可执行文件时可能触发的检测。
67,TURLA LIGHTNEURON,Waterbug (16),2019-05-07,ESET,恶意软件,Turla，也被称为蛇，是最古老的，还是活跃的网络间谍集团之一，拥有超过十年的经验更多。它的运营商主要集中在高知名度的目标，例如在欧洲，中亚和中东国家政府和外交机构。他们被称为有违反主要机构，如国防部在2008年美国国防部和瑞士国防RUAG公司在2014年最近，一些欧洲国家，包括法国和捷克共和国上市谴责对他们的政府Turla的攻击。
68,TURLA OUTLOOK 后门 ——一篇关于特殊Turla后门的分析报告,Waterbug (16),2018-08-23,ESET,漏洞攻击鱼叉攻击木马后门,Turla是一个间谍组织，一直忙于攻击世界各地的外交官和军事目标。其中，最引人注目的受害者是2013年的芬兰外交部，2014年至2016年间的瑞士军工公司RUAG 以及最近在2017年底或2018年初的德国政府。攻击者使用的一些手段：他们使用电子邮件附件来控制恶意软件，并从系统中转移被盗数据。在此，我们发布我们对这个通过电子邮件发送的PDF附件控制的Turla后门深入分析。
69,Turla Mosquito：转向更通用的工具,Waterbug (16),2018-05-22,ESET,伪造程序木马后门,它现在利用开源开发框架Metasploit，然后放弃了定制的Mosquito后门。
70,Turla使用的Neuron恶意软件升级,Waterbug (16),2018-01-18,NCSC,恶意软件,NCSC观察到Turla集团使用Neuron和Nautilus恶意工具设计在Microsoft Windows平台上运行，主要针对邮件服务器和Web服务器。这些工具用于维护持久的网络访问，并进行危害网络的操作，以便收集情报。
71,东欧的外交官被Turla蚊子咬伤,Waterbug (16),2018-01-09,ESET,社会工程,ESET的研究人员发现，臭名昭着的国家支持的网络间谍组织Turla已经为其军火库添加了一种新武器，这种武器正被用于针对后苏联国家的大使馆和领事馆的新运动中。这个新工具试图欺骗受害者安装恶意软件，最终旨在从Turla的目标中汲取敏感信息。
72,俄罗斯Turla组织的新型恶意软件 Gazer分析,Waterbug (16),2017-08-30,ESET,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,ESET 研究人员近期发现了一项针对全球各领事馆部委与大使馆的新型后门恶意软件 Gazer 监控，疑似与俄罗斯 APT 组织 Turla 有关。
73,WhiteBear组织的攻击手法分析,Waterbug (16),2017-08-30,Kaspersky,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,白象是一个来自于南亚地区的境外APT组织，组织主要针对中国、巴基斯坦等亚洲地区和国家的政府机构、科研教育领域进行攻击。部分基础设施和代码和蔓灵花、孔子重合，这几个组织间疑似有千丝万缕的关系。该组织在2018年同样多次对中国的多个目标进行了攻击活动。该组织同样使用鱼叉攻击，诱饵文档带有强烈的政治意味。
74,Turla APT组织调整KopiLuwak后门，用于G20相关的攻击,Waterbug (16),2017-08-17,Proofpoint,后门木马鱼叉式钓鱼攻击漏洞利用供应链攻击水坑攻击,Proofpoint的研究人员最近在公开的恶意软件存放处中发现了这个植入程序，黑客透过鱼叉式钓鱼攻击置入武装过的附件，标题为『Save The Date』邀请10月的G20工作会议。 这个邀请其实是一个可执行文件程序信息档案（PIF），看起来像是一个PDF档，它包含一组用于传送KopiLuwak的指令。当受害者双击PDF图示后，PIF在背后传送后门时正常的打开PDF诱饵文件。一旦安装在系统上，KopiLuwak会让攻击者完全的控制它。
75,Waterbug攻击小组,Waterbug (16),2015-01-22,Symantec,鱼叉式钓鱼水坑攻击,Waterbug是一个网络间谍组织，他们利用先进的恶意软件系统地对一系列国家政府实体发起攻击。 该组织采用高度针对性的鱼叉式钓鱼与水坑攻击攻破目标受害者。 目前有人注意到该组织还利用0-day漏洞和被盗证书为其恶意软件进行登记注册。 一旦该组织拿下突破点，它们便将攻击重点转移到长期持续性监控工具上，该工具拥有强大的间谍功能并可窃取受害者数据信息。 赛门铁克跟踪了一个这样的工具（Trojan.Turla）并确定了当前网络环境中还活跃着四个不同的变种被黑客所使用。
76,眼镜蛇项目分析,Waterbug (16),2015-01-20,G-DATA,间谍软件,卡巴斯基在“The Epic Turla Operation”一文中提到了“眼镜蛇项目”（Project Cobra）和“碳系统”（Carbon System）。 他们在Uroburos（也称Snake/Turla）和Agent.BT事件中均被利用。 我们认为Carbon System是在Agent.BTZ之后，Uroburos之前所开发完成的。 Carbon System与Uroburos和Agent.BTZ拥有相同的技术细节（加密密钥，加密算法，设计，...）和一些其他关联，例如他们的名称均与蛇相关：Project Cobra（眼镜蛇）。Uroburos可以被认为是一个内核中的“snake”和眼镜蛇碳系统作为一个用户态中心的“snake”。
77,从Agent.BTZ到ComRAT的复杂间谍软件的演变,Waterbug (16),2015-01-15,G-DATA,木马主控,2014年11月，G DATA Security实验室的专家发表了关于Agent.BTZ继承者ComRat的文章。文中提到该恶意软件涉及到Uroburos rootkit事件。这个事件的背后实施者使用了多种不同的恶意工具侵入目标设施，如Uroburos，Agent.BTZ/ComRAT，远程管理工具或Linux恶意工具等，甚至更多。
78,Whitefly：Espionage集团旗下拥有新加坡,Whitefly (1),2019-03-06,Symantec,鱼叉式网络钓鱼,2018年7月，对新加坡最大的公共卫生组织SingHealth的袭击导致据报有150万名病人被盗。到目前为止，还没有人知道是谁应对这次袭击负责。赛门铁克的研究人员发现，这个我们称之为粉虱的攻击小组自2017年以来一直在运营，主要针对新加坡各个行业的组织，并主要关注窃取大量敏感信息。
79,Wild Neutron – 经济间谍威胁演员带来新技巧,Wild Neutron (1),2015-07-08,Kaspersky,漏洞利用水坑攻击,一个名为“Wild Neutron”（又名“Jripbot”，“Morpho”）的黑客团队自2011年其开始活跃，他们利用组合漏洞，水坑攻击和多平台恶意软件攻击了多家知名公司。 据了解，攻击者使用一种窃取到的合法代码验证证书和一种未知的Flash Player漏洞利用程序感染全球的企业和个人用户，窃取敏感的商业信息。巴斯基实验室研究人员认为这是一个实力强大的网络间谍攻击组织，其发动攻击的目的可能是出于经济原因。
80,APT41：起诉书将中国间谍集团置于聚光灯下,Winnti Group (4),2020-09-18,Symantec,钓鱼攻击木马后门,"赛门铁克将APT41作为两个不同的团体Blackfly和Grayfly进行监控，发布了相关分析报告。Grayfly近年来特别活跃，对分布在亚洲、欧洲和北美的组织发动了大量窃密攻击，涉及行业包括食品、金融、医疗、酒店、制造、电信和政府。主要使用Barlaiy/POISONPLUG和Crosswalk/ProxIP（Backdoor.Motnug）恶意软件。在最近的攻击中，赛门铁克发现Grayfly部署了Crosswalk和Cobalt Strike恶意软件。Crosswalk为攻击者提供了全面的远程访问网络，并创建代理连接，允许访问目标网络难以到达的部分。在一次针对电信供应商的攻击中， Grayfly使用了一个能够与短信数据库交互的内部工具，这表明攻击的主要目的是情报收集。 Blackfly自2010年以来一直活跃，使用工具包括PlugX/Fast、Winnti/Pasteboy和Shadowpad恶意软件。该组织主要针对电脑游戏行业，但赛门铁克也观察到其对半导体、电信、材料制造、制药、媒体和广告、酒店、自然资源、金融科技和食品行业的攻击。在最近的攻击活动中，该组织针对台湾的一家电信组织部署了经过轻微修改的Winnti恶意软件版本。攻击的一个特点是他们在命名文件时使用安全厂商的名称，以避免引起怀疑。其中一个dropper使用了无效的证书签名，主题是 ""McAfee, Inc.""。 随后，dropper下载了几个DLL，其文件名引用了赛门铁克软件名但攻击者没有破解赛门铁克软件，也没有利用它进行攻击。"
81,Winnti Group使用新后门PipeMon，针对亚洲视频游戏公司,Winnti Group (4),2020-06-21,WeLiveSecurity,木马后门,研究人员在2020年2月发现了一个新的模块化后门(被命名为PipeMon)。PipeMon被Winnti Group用于针对几家总部位于韩国和台湾的视频游戏公司。在活动中，恶意软件破坏了受害者的构建系统，这可能导致了供应链攻击，允许攻击者木马化游戏可执行文件。在另一个案例中，游戏服务器被入侵，这可能让攻击者操纵游戏内的货币以获取经济利益。PipeMon是一个模块化后门，其中每个模块都是一个DLL，可导出一个名为IntelLoader的函数，并使用反射加载技术进行加载。每个模块具有不同的功能，负责加载主要模块(ManagerMain和GuardClient)的加载程序是Win32CmdDll.dll，位于打印处理器目录中。这些模块被加密存储在磁盘上的同一位置，其名称看起来没有恶意。GuardClient模块定期检查通信模块是否正在运行并加载它；ManagerMain模块执行时加载通信模块，包含加密的C2域，通过命名管道传递给通信模块，可以根据从通信模块接收到的数据执行多个命令(主要是系统信息收集、注入有效负载)；Communication通信模块通过命名管道管理C2服务器和各个模块之间的通信。PipeMon模块和安装程序都使用相同的有效代码签名证书进行签名，该证书很可能是在Winnti之前的活动中被盗的。
82,黑客组织WINNTI GROUP使用DNS隧道技术，针对德国化工公司,Winnti Group (4),2020-04-20,quointelligence,木马后门,2020年1月，QuoIntelligence（QuoINT）检测到一个新的Winnti样本，该样本从德国上传到公开病毒扫描程序。经过初步分析，研究人员发现该样本已用于攻击德国化工公司Tagesschau。研究人员发现了一个Winnti Group的工具包，其中使用了新的C2技术。该技术利用iodine 源代码实现DNS隧道通信通道，iodine 是一个开放源代码软件，可以通过DNS服务器建立IPv4数据的隧道。此外，研究人员还发现了一个以前未知的被盗数字证书，用于对Winnti相关的攻击组件进行数字签名，并且以韩国视频游戏公司Gravity为目标。
83,Winnti Group新后门PortReuse，通过监听匹配特定服务器请求,Winnti Group (4),2019-10-15,ESET,供应链攻击木马后门,"国外研究人员最近发现Winnti Group使用的新后门PortReuse，该后门在供应链攻击活动中被发现，是一种新侦听模式模块化后门，后门程序被注入到正在侦听TCP端口的运行进程中，它重用已经打开的端口，hooks接收函数并且等待一个""magic""包来触发恶意行为。为了能够解析传入数据来搜索""magic""包，后门使用了挂钩接收函数(WSARecv或者更低级别的NtDeviceIoControlFile)，或者使用带有URLPrefix的HttpAddUrl，在IIS服务器上为特定URL资源注册处理程序。合法流量会转发到实际应用程序，所以并不会阻止受感染服务器的任何合法活动。PortReuse后门没有C&amp;C服务器，其只负责监听打开的套接字，攻击者需要直接连接到受攻击的主机。目前发现该后门攻击一个亚洲移动软件和硬件制造商。FireEye发布的分析报告""LOWKEY: Hunting for the Missing Volume Serial ID""，与PortReuse后门为同一个工具。"
84,疑似摩诃草组织利用边境争端问题为诱饵针对周边地区的攻击活动分析,白象 (12),2020-09-01,奇安信,钓鱼攻击漏洞利用:CVE-2019-0808漏洞利用:CVE-2017-0261,奇安信威胁情报中心红雨滴团队监测发现，黑客组织摩诃草近期异常活跃。利用与邻国边境争端问题的等热点问题为诱饵；利用CVE-2017-0261漏洞释放执行恶意负载；最终恶意负载为FakeJLI后门和Quasar RAT；恶意负载带有AccelerateTechnologies Ltd公司的数字签名证书，根据签名溯源关联发现，疑似该组织开发人员曾将测试样本上传VT测试；该组织升级新增了CVE-2019-0808提权模块；疑似该组织开发人员开始测试.NET版本后门。
85,APT组织摩诃草近期针对周边国家和地区的攻击活动分析,白象 (12),2020-07-13,奇安信,钓鱼攻击木马后门水坑攻击,奇安信发现多个摩诃草组织近期针对周边国家和地区的定向攻击样本。在此次样本中，摩诃草组织采用了多种利用方式：例如伪装成南亚地区某国的网络安全协议的CVE-2017-0261漏洞利用文档，伪装成疫情防范指导指南的宏利用样本等。同时还捕获一例疑似水坑攻击样本，其攻陷了巴基斯坦某证券交易网站，并在网站中放置了一个伪装成java运行环境安装程序的恶意可执行文件。最终执行的后门是摩诃草组织常用的FakeJLI后门。该后门加载执行后，首先通过创建互斥量保证只有一个实例运行，然后收集受害者计算机电脑名、操作系统版本等信息。除此之外，还发现了疑似是Bozok RAT的dll文件，其加载执行后，将从资源中获取配置信息，包括互斥量、c2、解密插件密钥等。
86,攻击者在Sodinokibi勒索软件活动中扫描PoS软件,白象 (12),2020-06-23,Symantec,恶意软件,赛门铁克(Symantec)的研究人员发现，在一个Sodinokibi勒索软件的活动中，攻击者还会扫描某些受害者的网络，以获取信用卡或PoS软件。攻击者使用Cobalt Strike恶意软件向受害者发送Sodinokibi定向勒索软件。有八个组织的系统中有Cobalt Strike恶意软件，其中三名受害者随后感染了Sodinokibi勒索软件。感染Sodinokibi勒索软件的受害者来自服务、食品和保健部门。这次攻击的目标主要是大型、甚至是跨国公司。
87,MMCore针对南亚地区的APT攻击活动分析,白象 (12),2020-04-17,腾讯,暂无数据,MMCore针对南亚地区的APT攻击活动分析，MMCore是一款有趣的恶意文件，为下载器下载后在内存中解密执行的一个恶意文件。该恶意文件也被称为BaneChant，最早由fireeye在2013年曝光。此外Forcepoint也在2017年初曝光过而恶意文件的一些攻击活动。 该恶意文件的活动，主要活跃在亚洲地区，包括中国、巴基斯坦、阿富汗、尼泊尔等。不过Forcepoint也提到该攻击活动也包含非洲和美国。攻击的目标主要为军事目标、媒体、大学等。
88,COVID-19 新冠病毒笼罩下的全球疫情相关网络攻击分析报告,白象 (12),2020-03-26,奇安信,"远控木马木马后门,勒索软件",自今年年初新冠病毒在国内全面爆发，奇安信威胁情报中心便立刻意识到在这样的非常时期，网络攻击者绝不会自我“隔离”。保障关键业务系统的安全稳定运行及信息安全、重要网站的正常运转和内容不被篡改、防范和阻断利用疫情相关热点的APT、黑产等网络攻击，是另一个当务之急。 在春节期间，奇安信红雨滴团队和奇安信CERT便建立了围绕疫情相关网络攻击活动的监控流程，以希冀在第一时间阻断相关攻击，并发布相关攻击预警。 截至目前，奇安信红雨滴团队捕获了数十个APT团伙利用疫情相关信息针对境内外进行网络攻击活动的案例，捕获了数百起黑产组织传播勒索病毒、远控木马等多类型恶意代码的攻击活动。并通过基于奇安信威胁情报中心威胁情报数据的全线产品阻断了数千次攻击。相关详细信息均及时上报国家和地方相关主管部门，为加强政企客户和公众防范意识，也将其中部分信息摘要发布。 在本报告中，我们将结合公开威胁情报来源和奇安信内部数据，针对疫情期间利用相关信息进行的网络攻击活动进行分析，主要针对疫情相关网络攻击态势、APT高级威胁活动、网络犯罪攻击活动，以及相关的攻击手法进行详细分析和总结。
