,年份,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
48,2018 (134),针对独联体国家的APT攻击,2018-07-26,Accenture,漏洞攻击鱼叉攻击木马后门,PatchworkChinastrats,自2017年2月起至2018年5月止，安全供应商报告了一系列涉及CANDLEFISH攻击组织使用名为socksbot的恶意软件家族的网络攻击，其主要目标是独立国家联合体（独联体）国家。本文主要对本次战役中观察到的战术、技术和程序（TTP）进行分析。
49,2018 (134),,2018-07-17,360,暂无数据,APT-C-12 蓝宝菇,360公司在2018年7月5日首次对外公开了一个从2011年开始持续近8年针对我国政府、军工、科研、金融等重点单位和部门进行网络间谍活动的高级攻击组织-蓝宝菇（APT-C-12），该组织的活动在近几个月内呈现非常活跃的状态。本文作为前期组织揭露报告的补充，详述蓝宝菇组织在近期攻击活动的技术细节，希望安全业界了解其攻击手法共同完善拼图，输出防御方案联合起来对抗这个国家级的威胁。
50,2018 (134),Andariel组织的侦察新技术暗示下阶段攻击对象,2018-07-16,TrendMicro,漏洞利用水坑攻击,Hidden CobraLazarus,"Andariel组织是朝鲜黑客组织Lazarus Group的分支，研究人员通过分析该组织在最新活动中使用的侦察技术，发现了未来潜在的攻击对象,其主要攻击目标还是韩国。 韩国安全研究称Andariel组织5月份使用ActiveX的0 day漏洞对韩国的网站发起水坑攻击，即Operation GoldenAxe。6月月份，发现Andariel对4个被黑的韩国网站注入了恶意脚本，用于监视目的。"
51,2018 (134),罗马假日行动 - 狩猎俄罗斯APT28,2018-07-13,CSE CyberSec,木马后门,APT28SofacySednitAPT-C-20STRONTIUM奇幻熊Sofacy,最近，一系列新的恶意软件样本被提交到主要的在线沙箱。 我们注意到一些提交给Virus Total的样本被一些专家归因于俄罗斯APT28组。 APT28小组（又名Fancy Bear，Pawn Storm，Sednit，Sofacy和Strontium）自2007年以来一直活跃，它的目标是全球的政府，军队和安全组织。 该组织还涉及针对2016年总统选举的一系列攻击。
52,2018 (134),印度的高级移动恶意软件活动使用恶意MDM,2018-07-12,Talos,社会工程,暂无数据,思科Talos已经确定了针对13款iPhone的高度针对性的广告系列，该广告似乎专注于印度。攻击者部署了一个开源移动设备管理（MDM）系统来控制注册设备。目前，我们还不知道攻击者是如何设法注册目标设备的。注册可以通过物理访问设备来完成，或者最有可能通过使用社交工程来诱使用户注册。在社会工程攻击中，受害者被欺骗点击接受或让攻击者物理访问设备。
53,2018 (134),台湾科技公司窃取的证书在Plead恶意软件活动中被滥用,2018-07-09,ESET,盗取证书恶意软件,BlackTech黑凤梨 T-APT-03,当我们的系统将多个文件标记为可疑时，我们发现了此恶意软件广告系列。有趣的是，标记的文件使用有效的D-Link Corporation代码签名证书进行了数字签名。完全相同的证书已用于签署非恶意D-Link软件; 因此，证书很可能被盗。
54,2018 (134),Hussarini - 菲律宾有针对性的网络攻击,2018-07-08,FORTINET,木马后门,暂无数据,我们对这种恶意软件的分析显示，它属于Hussarini，也称为Sarhust，一个后门家族，自2014年以来一直积极参与针对东盟地区国家的APT攻击。
55,2018 (134),APT在中东的攻击：大爆炸,2018-07-08,Check Point,网络钓鱼邮件,暂无数据,在过去的几周里，Check Point威胁情报小组发现了针对整个中东机构，特别是巴勒斯坦权力机构的APT监视攻击的复出。
56,2018 (134),RANCOR：使用PLAINTEE和DDKONG恶意软件系列在东南亚发起的针对性攻击,2018-06-26,paloalto,鱼叉式网络钓鱼,Rancor,在整个2017年和2018年，第42单元一直在跟踪和观察一系列针对东南亚的高度针对性的攻击，这是基于我们对KHRAT木马的研究。根据证据，这些攻击似乎是由使用以前未知的恶意软件系列的同一组攻击者进行的。此外，这些攻击似乎在分发所使用的恶意软件以及所选目标方面具有高度针对性。基于这些因素，第42单元认为这些攻击背后的攻击者正在进行间谍活动。
57,2018 (134),Thrip：间谍组击中卫星，电信和国防公司,2018-06-20,Symantec,网络间谍恶意软件,NaikonAPT30,赛门铁克基于人工智能的目标攻击分析揭示了新的广泛的间谍活动。近年来网络间谍活动最重要的发展之一就是采用“ 离地生活 ”的群体数量“战术。这是我们使用操作系统功能或合法网络管理工具来破坏受害者网络的简写。
58,2018 (134),奥运毁灭者仍然活动,2018-06-19,Kaspersky,鱼叉式网络钓鱼,暂无数据,在2018年5月至6月，我们发现了新的鱼叉式网络钓鱼文件，这些文件与奥林匹克驱逐舰过去使用的武器化文件非常相似。这个和其他TTP让我们相信我们再次看到同一个演员。但是，这次攻击者有了新目标。根据我们的遥测和分析的鱼叉式网络钓鱼文件的特点，我们认为奥林匹克驱逐舰背后的攻击者现在瞄准俄罗斯的金融组织，以及欧洲和乌克兰的生物和化学威胁预防实验室。
59,2018 (134),另一个潜在的MuddyWater Campaign使用基于Powershell的PRB-Backdoor,2018-06-14,TrendMicro,木马后门,暂无数据,在2018年5月，我们发现了一个可能与此广告系列相关的新示例（检测为W2KM_DLOADR.UHAOEEN）。与之前的广告系列一样，这些示例再次涉及嵌入了恶意宏的Microsoft Word文档，该恶意宏能够执行导致后门有效负载的PowerShell（PS）脚本。
60,2018 (134),MirageFox：APT15使用基于Old Ones的新工具重新浮出水面,2018-06-14,INTEZER,恶意软件,Ke3ChangAPT15,巧合的是，在最近美国海军承包商的黑客行为和潜在战争中高度敏感的数据被盗后，我们发现了一个被称为APT15的团体近期的活动证据，该团体以进行网络间谍活动而闻名，据信这与网络间谍有关。
61,2018 (134),LuckyMouse访问国家数据中心，组织国家级的水务运动,2018-06-13,Kaspersky,水坑攻击,LuckyMouseEmissary PandaAPT27,由于使用的工具和策略，我们将该活动归因于LuckyMouse中文演员（也称为EmissaryPanda和APT27）。此外，C2域update.iaacstudio [。] com之前已在其广告系列中使用。此活动中发现的工具，如HyperBro特洛伊木马，经常被各种讲中文的演员使用。
62,2018 (134),Patchwork APT集团瞄准美国智囊团,2018-06-07,Volexity,鱼叉式网络钓鱼,PatchworkChinastrats,从Volexity观察到的攻击中，最值得注意的是Patchwork已经转向其目标并直接针对美国智囊团发起攻击。Volexity还发现，除了发送恶意软件诱惑之外，Patchwork威胁参与者还利用其电子邮件中的唯一跟踪链接来识别哪些收件人打开了他们的电子邮件。
63,2018 (134),Adobe Flash Zero-Day利用中东针对性攻击,2018-06-07,Gigamon ATR team,漏洞利用,暂无数据,Gigamon应用威胁研究（ATR）团队已经确定了Adobe Flash中零日漏洞的积极利用，似乎针对中东地区的个人和组织。该漏洞（CVE-2018-5002）允许恶意制作的Flash对象在受害计算机上执行代码，从而使攻击者能够执行一系列有效负载和操作。
64,2018 (134),关于TRITON和TriStation的完全管状论述,2018-06-07,FireEye,恶意软件,暂无数据,2017年12月，FireEye的Mandiant讨论了涉及TRITON框架的事件响应。TRITON攻击和许多公开讨论的ICS入侵涉及常规技术，其中威胁行为者仅使用成功执行任务所必需的内容。对于INDUSTROYER和TRITON，攻击者通过两个环境都可访问的系统从IT网络迁移到OT（运营技术）网络。在这些入侵过程中使用了传统的恶意软件后门，Mimikatz馏分，远程桌面会话以及其他记录良好，易于检测的攻击方法。
65,2018 (134),VPNFilter更新 - VPNFilter利用端点，瞄准新设备,2018-06-06,Talos,恶意软件,暂无数据,自从我们首次公布我们对广告系列的调查结果以来，我们已经看到VPNFilter针对的设备/设备型号比最初想象的要多，并且具有其他功能，包括向端点提供漏洞利用的能力。
66,2018 (134),Sofacy Group的并行攻击,2018-06-06,paloalto,网络钓鱼攻击,APT28SofacySednitAPT-C-20STRONTIUM奇幻熊Sofacy,Sofacy小组仍然是一个持久的全球威胁。第42单元和其他人在2018年上半年表明，这个威胁行动者组织如何继续瞄准世界各地的多个组织，特别强调主要在北美和欧洲的政府，外交和其他战略组织。
67,2018 (134),PROWLI行动：将4万台受害者机器货币化,2018-06-06,Guardicore,漏洞攻击密码爆破,暂无数据,"Guardicore Labs团队发现了一个交通操纵和加密货币挖掘活动，感染了金融，教育和政府等行业的众多组织。这项名为Operation Prowli的广告系列将恶意软件和恶意代码传播到服务器和网站，并且已经破坏了全球多个地区的40,000多台计算机。Prowli使用各种攻击技术，包括漏洞攻击，密码暴力破解和弱配置。"
68,2018 (134),NavRAT借美朝会晤话题攻击韩国,2018-05-31,Cisco,后门木马鱼叉式钓鱼攻击漏洞利用,暂无数据,cisco Talos最近发现了一份新型的恶意HWP文档，该文档以韩国用户为攻击目标。如果用户打开了恶意文档，就会下载一个远程访问木马，该木马能够在受害者主机上执行各种操作，包括命令执行、键盘记录等功能。
69,2018 (134),范围内的铁网络犯罪集团,2018-05-29,INTEZER,恶意软件,RockeIron,在过去的一年半中，Iron集团为Windows，Linux和Android平台开发了多种类型的恶意软件（后门，加密矿工和勒索软件）。他们使用恶意软件成功感染了至少数千名受害者。
70,2018 (134),新的VPNFilter恶意软件针对全球至少500K网络设备,2018-05-23,Talos,恶意软件,暂无数据,几个月来，Talos一直在与公共和私营部门的威胁情报合作伙伴和执法部门合作，研究一个先进的，可能是国家赞助或国家附属的演员广泛使用我们称之为“VPNFilter”的复杂模块化恶意软件系统。
71,2018 (134),Confucius更新：新的工具和技术，与Patchwork的进一步联系,2018-05-23,TrendMicro,恶意软件,Confucius,回到2月份，我们注意到Patchwork和Confucius团体之间的相似之处，发现除了恶意软件代码的相似之外，这两个群体主要追求南亚的目标。在我们追踪Confucius活动的几个月里，我们发现他们仍然瞄准巴基斯坦的目标。
72,2018 (134),Turla Mosquito：转向更通用的工具,2018-05-22,ESET,伪造程序木马后门,WaterbugTurla,它现在利用开源开发框架Metasploit，然后放弃了定制的Mosquito后门。
73,2018 (134),SideWinder“响尾蛇”APT组织（T-APT-04 ） 针对南亚的定向攻击威胁,2018-05-22,腾讯,暂无数据,T-APT-04响尾蛇,近日腾讯御见威胁情报中心捕获到了SideWinder（响尾蛇） APT组织的一个最新攻击样本，该APT组织疑似来自印度，最早活跃可追溯到2012年。主要针对巴基斯坦等南亚国家的军事目标进行定向攻击。
74,2018 (134),“中国黑客组织”Winnti或正在策划供应链攻击,2018-05-03,ProtectWise,后门木马鱼叉式钓鱼攻击漏洞利用,,美国软件安全初创企业 ProtectWise 公司威胁研究与分析团队（401TRG）近期发布一份45页的分析报告指出，中国的 Winnti Umbrella 黑客组织以 IT 员工为目标，正不断调整自身策略且高度依赖鱼叉式网络钓鱼——而非传统恶意软件——实施入侵，报告认为这些网络活动旨在收集合法软件厂商代码签名证书以支持后续供应链攻击。
75,2018 (134),HOGFISH RED LEAVES CAMPAIGN：HOGFISH（APT10）针对日本的RedLeaves进行“新战斗”,2018-05-03,Accenture,暂无数据,APT10,iDefense分析师已经确定最近的活动归功于APT10，也被称为HOGFISH和Stone Panda。该报告提供了演员在其”新战斗“活动中利用的定制RedLeaves植入物的技术概述
76,2018 (134),卡巴斯基详解“ZooPark”网络间谍活动 目标瞄准中东国家Android用户,2018-05-03,Kaspersky,Telegram水坑攻击,暂无数据,卡巴斯基发布了一份对ZooPark组织的研究报告。ZooPark组织的复杂网络间谍攻击行动，多年以来一直对位于中东地区的多个国家的安卓设备用户进行攻击。这些攻击行动似乎是针对该地区政治组织、激进主义者和其他政治和社会机构目标。这名黑客根据已掌握的资料猜测ZooPark很可能是一个具有美国背景的组织，目前其开发的恶意软件也被暂时成为“ZooPark”，ZooPark目前已经更新到第4代了。
77,2018 (134),海莲花APT组织最新攻击样本分析,2018-04-27,腾讯,后门木马鱼叉式钓鱼攻击漏洞利用,APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,海莲花（OceanLotus）也叫APT32或APT-C-00，是一个长期针对中国及其他东亚国家（地区）政府、科研机构、海运企业等领域进行攻击的APT组织。
78,2018 (134),GravityRAT：以印度为APT目标两年内的演变史,2018-04-26,Cisco,后门木马鱼叉式钓鱼攻击漏洞利用,暂无数据,思科的Talos团队发现了一款新型恶意软件，在过去的两年内，该恶意软件一直隐藏在人们的眼皮底下，并且仍在发展中。几星期前，我们发现攻击者开始使用这款RAT的最新变种，我们将这款恶意软件称之为GravityRAT。在本文中，我们将讨论GravityRAT的技术功能、演进及发展历史，同时追踪溯源隐藏在背后的潜在攻击者。
79,2018 (134),解析针对巴西用户的恶意软件及垃圾邮件行动,2018-04-24,FireEye,后门木马鱼叉式钓鱼攻击漏洞利用,暂无数据,FireEye实验室最近发现了几个针对巴西公司的广泛的malspam（恶意软件垃圾邮件）广告系列。FireEye将这些活动称为Metamorfo，在活动的各个阶段中，FireEye观察到使用多种策略和技术来逃避检测并提供恶意负载。本文中，我们剖析了两个主要的行动，并解释了其工作原理。
80,2018 (134),GhostSecret事件分析：在全球范围内发动攻击窃取数据,2018-04-24,McAfee,后门木马鱼叉式钓鱼攻击漏洞利用,Hidden CobraLazarus,McAfee高级威胁研究（ATR）团队的分析人员最近发现了在全球范围内肆虐的一场数据窃取攻击活动（此次攻击活动名为Operation GhostSecret，用到了多个植入体）包括关键基础设施、娱乐、金融、医疗保健以及电信在内的许多行业受到影响。
81,2018 (134),Sednit组织更新换代：一款值得密切关注的恶意软件Zebrocy分析,2018-04-24,ESET,后门木马鱼叉式钓鱼攻击漏洞利用,APT28SofacySednitAPT-C-20STRONTIUM奇幻熊Sofacy,Sednit组织在过去两年中大量使用Zebrocy，其为Sednit工具库中稳定、成熟的工具之一，并且这一工具值得密切关注。
82,2018 (134),Energetic Bear/Crouching Yeti APT 分析报告,2018-04-23,Kaspersky,鱼叉式攻击漏洞利用木马后门水坑攻击,Energetic BearDragonflyIRON LIBERTY,Energetic Bear/Crouching Yeti是至少从 2010 年以来就广为人知的 APT 组织。该组织倾向于攻击不同的公司，主要关注能源和工业部门。该组织的主要策略包括发送带有恶意文档的钓鱼邮件以及感染各种服务器。该组织使用一些受感染的服务器作为辅助目的——托管工具和日志。其他服务器用于水坑攻击，以达到该组织的主要目标。Kaspersky Lab ICS CERT的这份报告介绍了已识别的服务器的信息，这些服务器已被该组织感染和使用。该报告还包括对 2016 年和 2017 年初 Energetic Bear 组织攻陷的几家网络服务器的分析结果。
83,2018 (134),赛门铁克披露APT组织Orangeworm：攻击欧美亚地区的医疗行业,2018-04-23,Symantec,后门木马,Orangeworm,赛门铁克追踪到一个名为 Orangeworm 的 APT 组织，它针对位于美国、欧洲和亚洲国家的医疗组织机构发动攻击，不过这些攻击貌似并非出自国家黑客之手。赛门铁克公司发布报告称，Orangeworm 首次现身于2015年1月，主要攻击的是医疗行业的组织机构，占被攻击目标的近40%；其它遭攻击的行业在某种程度上也和医疗行业有关，如 IT (15%)、制造业 (15%)、物流 (8%) 和农业 (8%)。具体来讲，其它行业的受害者包括医疗设备厂商、向诊所提供服务的 IT 公司以及交付医疗产品的物流公司。研究人员表示，医疗行业以外的公司也在供应链攻击之列，最终目标是获得访问目标实体系统的权限。
84,2018 (134),OceanLotus组织新的Macos后门分析,2018-04-04,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,我们确定了一个MacOS后门（趋势科技检测为OSX_OCEANLOTUS.D），我们认为它是OceanLotus（又名APT 32，APT-C-00，SeaLotus和Cobalt Kitty）使用的威胁的最新版本.OceanLotus负责 针对人权组织，媒体组织，研究机构和海事建筑公司发起有针对性的攻击.OSX_OCEANLOTUS.D背后的攻击者瞄准安装了Perl编程语言的MacOS计算机。
85,2018 (134),摩诃草利用Office CVE-2017-8570漏洞，针对我国敏感机构开展网络钓鱼攻击,2018-04-02,奇安信,暂无数据,Dropping ElephantDropping ElephantAPT-C-09白象 摩诃草,在2018年春节前后，360威胁情报中心与360安全监测与响应中心协助用户处理了多起非常有针对性的鱼叉邮件攻击事件，发现了客户邮件系统中大量被投递的鱼叉邮件，被攻击的单位为某些重要敏感的政府机构。而经过溯源分析与关联，幕后团伙正是摩诃草组织（APT-C-09）。360威胁情报中心在本文中对本次攻击活动的过程与细节进行揭露，希望企业组织能够引起重视，并采取必要的应对措施。
86,2018 (134),njRAT推出勒索软件和比特币钱包窃取者,2018-03-30,Zscaler,远控木马,暂无数据,njRAT又称Bladabindi，是一种远程访问特洛伊木马（RAT），于2013年首次出现，目前仍是最流行的恶意软件家族之一。它是使用Microsoft.NET框架开发的，与许多其他RAT一样，提供对受感染系统的完全控制，并向远程攻击者提供一系列功能。有多种.NET模糊处理工具使反病毒解决方案难以检测，并妨碍安全研究人员进行分析。njRAT为命令和控制（C2）服务器使用动态DNS，并通过可配置的端口使用定制TCP协议进行通信。
87,2018 (134),ChessMaster的技术分析及缓解措施,2018-03-29,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,暂无数据,趋势科技在2017年7月发现了ChessMaster，当时，我们注意到ChessMaster的复杂性，这意味着该行动可能会发生变化。果然在几个月之后，行动中使用的工具和策略发生了变化。尽管初始行动非常全面，并且使用了远程RAT，如ChChes和RedLeaves，但新攻击中使用了一种新的后门程序（趋势科技检测为BKDR_ANEL.ZKEI），该程序利用CVE-2017-8759漏洞进行网络间谍活动。在本文中，我们分析了目前ChessMaster的状态，包括其武器库中更新的工具，特别关注了ANEL的演变以及如何在行动中使用。
88,2018 (134),解码Gh0st RAT变种中的网络数据,2018-03-28,NCC Group,后门木马,暂无数据,从我们的研究分析中，我们认为攻击者在此次攻击中并没有使用任何高级的攻击技术。实际上，攻击者的主要目标是挖掘加密货币。在调查中，我们还发现了一些攻击者使用过的工具，例如password dumpers，Monero加密货币矿工，可移动可执行（PE）注入器，以及Gh0st RAT的修改版。尽管Bitdefender和TrendMicro已发布了对该组织使用的一些工具的详细描述报告[1] [2]，但我们却并没有找到对此特定修改版本Gh0st RAT的任何引用和参考信息。因此，这篇文章的目的就是向大家简要描述，该组织所使用的Gh0st RAT修改版。
89,2018 (134),OceanLotus APT （海莲花）在近期攻击中使用了新后门,2018-03-14,ESET,后门木马鱼叉式钓鱼攻击漏洞利用,APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,ESET 发布分析报告称 OceanLotus APT 组织在其最近的攻击活动中使用了新的后门，旨在获得远程访问以及对受感染系统的完全控制权。目前 OceanLotus 会在其攻击活动中不断更新工具集，这显示了该组织通过选择目标保持隐藏的意图。此外，OceanLotus 也限制其恶意软件的分发以及使用多个不同的服务器来避免将注意力吸引到单个域名或 IP 地址。
90,2018 (134),Tropic Trooper组织攻击的新方法分析,2018-03-14,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,KeyBoyAPT23Tropic Trooper,Tropic Trooper 主要以台湾、菲律宾和香港为目标，攻击活动集中在政府、医疗、交通和高科技产业。该组织开发自己的网络应用工具，在最近的活动中对这些工具进行了不断技术更新。本文主要对该组织及其工具新的行为特征进行分析说明。
91,2018 (134),BlackTDS：新型恶意软件流量分配系统,2018-03-13,Proofpoint,恶意软件,TA505,Proofpoint 研究人员披露，暗网上浮现传播恶意软件的新型流量分配系统（简称TDS），研究人员将其命名为“BlackTDS”。自2017年12月底以来 BlackTDS 的“主人”一直在地下市场宣传推广，自诩能以经济实惠的方式部署攻击工具包（EK）和恶意软件。
92,2018 (134),火眼分析报告：伊朗威胁组织的攻击技术详解,2018-03-13,FireEye,后门木马鱼叉式钓鱼攻击漏洞利用,MuddyWater,"从2018年1月到3月，通过FireEye公司情报，我们观察到攻击者利用最新的代码执行和持久性技术，将基于宏的恶意文档传播给亚洲和中东的个人。 我们把这一活动归因于""TEMP.Zagros""，是一个伊朗关系行动者，自2017年5月起就一直活跃着。该行动者从事的是在中亚和西南地区的政府和防御实体进行大量的网络钓鱼攻击。网络钓鱼攻击电子邮件和附加的恶意宏文件通常都包含地缘政治主题。一旦被成功执行，恶意文档就会安装一个我们跟踪的POWERSTATS后门。在分析这些文件时，一个更有趣的观察是重用了最新的AppLocker旁路，以及用于间接代码执行的横向移动技术。横向移动技术中的IP地址被本地机器IP地址取代，以实现系统上的代码执行。"
93,2018 (134),MuddyWater针对中东和亚洲的新攻击行动,2018-03-12,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,MuddyWater,MuddyWater多以从事间谍活动为目的，受害者主要分布在巴基斯坦、沙特阿拉伯、阿联酋和伊拉克等国家。该组织自2017年11月被曝光以来，不但没有停止攻击，反而更加积极地改进攻击武器。据趋势团队分析，MuddyWater正利用Powershell作为后门程序发起新一轮网络攻击，主要攻击目标集中在政府、金融、能源、电信等行业用户。之前，与 MuddyWater 相关的攻击记录，发生在对沙特阿拉伯政府的攻击，以及与FIN7黑客集团相关的事件中。
94,2017 (64),MoneyTaker 近一年半的攻击活动,2017-12-20,Group-IB,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,MoneyTaker,莫斯科的网络安全公司Group-IB于本周一发表了一份长达36页的报告，其间详细介绍了最新发现的一个名为“MoneyTaker”的黑客组织，该组织从2016年5月开始一直活跃至今。研究人员表示，在2016-2017年这过去18个月中，该黑客组织已经针对各种金融机构实施了多达20多起攻击活动——成功窃取了超过1100万美元的资金以及其他可用于进一步攻击的敏感文件。据悉，这些受到影响的金融机构和律师事务所主要分布在美国、英国以及俄罗斯。根据Group-IB安全公司介绍称，该黑客组织主要利用卡片处理系统（包括AWS CBR——俄罗斯银行同业系统，美国SWIFT国际银行信息服务系统）的漏洞针对金融机构发动一次又一次攻击活动。
95,2017 (64),移动端间谍应用AnubisSpy针对中东国家，与APT组织（APT-C-15）相关,2017-12-19,TrendMicro,暂无数据,APT-C-15Sphinx人面狮,趋势科技发现针对阿拉伯语言中东国家的恶意应用AnubisSpy，根据其C&amp;C关联到APT组织人面狮（APT-C-15）。AnubisSpy可以窃取短信，照片，视频，电子邮件账户等数据，也可以运行命令删除设备上的文件。
96,2017 (64),Equation Group组织工具IOC,2017-12-18,steemit,暂无数据,方程式Equation Group,Equation Group被卡巴斯基认为是目前世界上存在的最复杂的网络攻击组织。该组织使用的C&amp;C早在1996年就被注册，这暗示了该组织可能已经活跃了20年之久。多年以来，他们因总能比其他组织早发现漏洞，从而具有绝对的优势，涉及的行业包括政府和外交机构、电信、航天、能源、核研究、军事、纳米技术、宗教活动家、媒体、运输业、金融行业等。该组织拥有一套用于植入恶意代码的超级制式信息武器库（在友商报告中披露了其中6个），其中包括两个可以对数十种常见品牌的硬盘固件重编程的恶意模块，这可能是该组织掌握的最具特色的攻击武器，同时也是首个已知的能够感染硬盘固件的恶意代码。
97,2017 (64),DragonFly行动分析链接到早期的攻击,2017-12-17,McAfee,后门木马鱼叉式钓鱼攻击漏洞利用供应链攻击水坑攻击,暂无数据,McAfee Labs 通过收集的证据表明 DragonFly 恶意软件与 BlackEnergy 和 TeamSpy 等其他黑客攻击活动有莫大联系，这些攻击活动在技术、战术和程序方面都非常相似。 赛门铁克今年 9 月发布了关于 “DragonFly 2.0 行动” ——针对数十家能源公司进行黑客攻击的详细分析报告，在对制药、金融和会计行业遭遇过网络攻击案例进一步调查分析后，研究团队发现这些攻击活动在技术、战术和程序方面都存在相似之处（如使用鱼叉式网络钓鱼、特定漏洞攻击和供应链污染等），他们怀疑 “DragonFly 2.0 行动”与 2014 年观察到的 DragonFly 攻击行动背后是同一个黑客组织。
98,2017 (64),攻击者部署新的ICS攻击框架“TRITON”并导致关键基础设施的运营中断,2017-12-14,FireEye,暂无数据,暂无数据,FireEye安全研究人员发现一款针对工控系统（ICS）的恶意软件——“TRITON”，该软件瞄准施耐德电气公司Triconex安全仪表控制系统（Safety Instrumented System，SIS）控制器，造成一家能源工厂停运，幕后黑手疑似为国家支持型攻击者。
99,2017 (64),解密Patchwork间谍组织手段,2017-12-11,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用供应链攻击水坑攻击,PatchworkChinastrats,Patchwork又被称为Dropping Elephant，该组织以中国相关主题作为诱饵，比如中国南海问题，进而对目标的网络进行攻击。
100,2017 (64),Charming Kitten：伊朗针对人权活动人士、学术研究人员和媒体转载的网络间谍行为—以及HBO黑客关联,2017-12-08,Clearsky,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,NewsBeef,Charming Kitten是伊朗网络间谍组织，大约在2014年起开始活动。这份报告公开的是2016到2017年活跃的海量间谍机器。攻击者呈现的是冒充组织和个人群体、鱼叉和水坑攻击。本文将分析其利用、传送以及C2基础设施，并曝光DownPaper，一个由攻击者开发、至今未被存档的恶意软件。 本报告记录的事件仅为目标攻击事件的一小部分，波及数千人。我们公开了超过85个IP地址，240个恶意域名，数百个主机和多个虚假实体——其中大部分创建于2016-2017年。
101,2017 (64),APT34利用CVE-2017-11882针对中东攻击样本分析,2017-12-07,FireEye,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,APT34OilRig,在2017年11月14日，微软官方发布了CVE-2017-11882漏洞的补丁，不到一周后，Fireye发现了一名利用Office漏洞攻击中东政府组织的攻击者。我们认为此次攻击活动是由一个疑似在伊朗从事网络间谍活动的黑客组织发起的，我们称之为APT34。他们通过使用自己编写的PowerShell后门实现这次攻击。
102,2017 (64),MuddyWater APT瞄准中东地区,2017-11-22,REAQTA,暂无数据,暂无数据,MuddyWater是一个APT攻击自组织，引起了我们的注意，因为他们在针对中东的有针对性的战役中广泛使用了“生活在陆地上”的攻击。在我们的调查过程中，我们重建了所使用的载体的演变以及该小组如何操作以瞄准受害者，逃避检测并在受损基础设施内横向移动。
103,2017 (64),朝鲜利用比特币漏洞获利,2017-11-20,Proofpoint,后门木马鱼叉式钓鱼攻击漏洞利用供应链攻击水坑攻击,Hidden CobraLazarus,Lazarus的攻击日趋以经济利益为目的，似乎正在通过加密货币日益增长的热潮和疯涨的价格获利。Proofpoint的研究人员已经发现了一些多级攻击，它们使用加密货币诱饵来使具有复杂后门和恶意监控软件的受害者感染。然后受害者感染的包括Gh0st RAT在内的其他恶意软件，窃取加密货币钱包和交易，使 Lazarus能够利用比特币和其他加密货币获利。在一系列的攻击中我们还发现，这似乎是第一个公开记录的一个针对盗窃信用卡数据的销售终端系统（POS）框架的国家—政府实例。而且，将攻击销售终端系统的时间安排在假日购物季时期，增大了潜在的经济损失。
104,2017 (64),MuddyWater（污水）分析报告：针对中东地区的APT攻击组织,2017-11-14,paloalto,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,MuddyWater,本文主要讨论一个针对中东地区的APT攻击组织“MuddyWater”，该组织与2017年2月份和10月份发生在中东地区的一些有针对性的网络攻击有关联。Unit42将其命名为“MuddyWater”（污水），只因为这些有关联的攻击活动比较混乱，而且它们可能都是间谍活动，之前认为“某些活动可能与FIN7黑客组织有关”的推断很可能是错误的。
105,2017 (64),Sunorcal有关的新恶意软件,2017-11-10,paloalto,后门木马漏洞利用,暂无数据,SunOrcal恶意软件至少从2013年便已经开始活动。而根据某些C2元数据显示，该恶意软件甚至可能早在2010年就已经开始活跃。
106,2017 (64),SowBug：针对南美洲和东南亚攻击的网络间谍组织活动分析,2017-11-07,Symantec,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,Sowbug,此次曝光的网络间谍组织Sowbug，至少在2015年就开始运作了，他们曾对南美洲和东南亚的许多政府机构进行过一系列针对性的攻击，旨在获取重要的外交情报。 该住址发现这个组织对阿根廷、巴西、厄瓜多尔、秘鲁和马来西亚等国的外交政策机构、政府机构以及其它外交目标进行过秘密攻击。此黑客组织主要借助名为 “Felismus” 的恶意软件发动攻击并借此渗透进目标网络。Felismus 是在2017年3月下旬首度被发现的，它是一款复杂且精心编写的远控木马（RAT），其模块化的设计能允许使用者对后门功能进行特殊的定制。 该恶意软件能让攻击者完全控制受感染的目标系统，与大多 RAT 一样，Felismus 允许攻击者进行文件下载、shell 命令执行等操作。
